Brenna,,,,Andrew,,,,Lance,,,,Eric,,,,Kevin,,,,RJ,,,,Claire,,,,Adam,,,,Nick,,,,Stephen,,,,Brian,,,,Nate,,,
NAME,POS,BYE,,NAME,POS,BYE,,NAME,POS,BYE,,NAME,POS,BYE,,NAME,POS,BYE,,NAME,POS,BYE,,NAME,POS,BYE,,NAME,POS,BYE,,NAME,POS,BYE,,NAME,POS,BYE,,NAME,POS,BYE,,NAME,POS,BYE,
Eddie Lacy,RB,7,OK,Adrian Peterson,RB,5,OK,Jamaal Charles,RB,9,OK,Demaryius Thomas,WR,7,OK,Le'Veon Bell,RB,11,OK,Marshawn Lynch,RB,9,OK,Andrew Luck,QB,10,OK,Jeremy Hill,RB,7,OK,Aaron Rodgers,QB,7,OK,Rob Gronkowski,TE,4,OK,Antonio Brown,WR,11,OK,C.J. Anderson,RB,7,OK
Randall Cobb,WR,7,OK,Lamar Miller,RB,5,OK,Julio Jones,WR,10,OK,LeSean McCoy,RB,8,OK,T.Y. Hilton,WR,10,OK,Peyton Manning,QB,7,OK,Dez Bryant,WR,6,OK,Mike Evans,WR,6,DRAFT,Calvin Johnson,WR,9,OK,Odell Beckham Jr.,WR,11,OK,DeMarco Murray,RB,8,OK,Matt Forte,RB,7,OK
Jimmy Graham,TE,9,OK,Mark Ingram,RB,11,OK,Alshon Jeffery,WR,7,OK,Justin Forsett,RB,9,OK,Alfred Morris,RB,8,OK,DeAndre Hopkins,WR,9,OK,Emmanuel Sanders,WR,7,OK,A.J. Green,WR,6,SPELL,Carlos Hyde,RB,10,OK,Melvin Gordon,RB,10,OK,Brandin Cooks,WR,11,OK,Jordan Matthews,WR,8,OK
Joseph Randle,RB,6,OK,Davante Adams,WR,7,OK,LeGarrette Blount,RB,4,OK,Drew Brees,QB,11,OK,Andre Ellington,RB,9,OK,Giovani Bernard,RB,7,OK,Latavius Murray,RB,6,OK,Frank Gore,RB,10,OK,Joique Bell,RB,9,OK,Todd Gurley,RB,6,OK,russell wilson,QB,9,OK,Julian Edelman,WR,4,OK
Vincent Jackson,WR,6,OK,Keenan Allen,WR,10,OK,golden tate,WR,9,OK,Amari Cooper,WR,6,OK,Chris Ivory,RB,5,OK,Arian Foster,RB,9,OK,Jonathan Stewart,RB,5,OK,Travis Kelce,TE,9,OK,Andre Johnson,WR,10,OK,Sammy Watkins,WR,8,OK,T.J. Yeldon,RB,8,OK,DeSean Jackson,WR,8,OK
Isaiah Crowell,RB,11,OK,Mike Wallace,WR,5,OK,Jeremy Maclin,WR,9,OK,Martellus Bennett,TE,7,OK,Nelson Agholor,WR,8,OK,Greg Olsen,TE,5,OK,Ryan Mathews,RB,8,OK,C.J. Spiller,RB,11,OK,Doug Martin,RB,6,OK,Tre Mason,RB,6,OK,Brandon Marshall,WR,5,OK,Rashad Jennings,RB,11,OK
Matt Ryan,QB,10,OK,Roddy White,WR,10,OK,Tyler Eifert,TE,7,OK,Jarvis Landry,WR,5,OK,Darren McFadden,RB,6,OK,Torrey Smith,WR,10,OK,Tevin Coleman,RB,10,OK,Allen Robinson,WR,8,OK,Jason Witten,TE,6,OK,Ben Roethlisberger,QB,11,OK,Jordan Cameron,TE,5,OK,Cam Newton,QB,5,OK
Devonta Freeman,RB,10,OK,Eli Manning,QB,11,OK,Tom Brady,QB,4,OK,Stephen Gostkowski,K,4,OK,Ameer Abdullah,RB,9,OK,Marques Colston,WR,11,OK,Delanie Walker,TE,4,OK,Steve Smith Sr.,WR,9,OK,Charles Johnson,WR,5,OK,Alfred Blue,RB,9,OK,Eric Decker,WR,5,OK,Zach Ertz,TE,8,OK
Michael Floyd,WR,9,OK,Lorenzo Taliaferro,RB,9,OK,Shane Vereen,RB,11,OK,Duke Johnson,RB,11,OK,Pierre Garcon,WR,8,OK,Percy Harvin,WR,8,OK,Anquan Boldin,WR,10,OK,Bishop Sankey,RB,4,OK,Knile Davis,RB,9,OK,Martavis Bryant,WR,11,OK,Larry Fitzgerald,WR,9,OK,John Brown,WR,9,OK
Denard Robinson,RB,8,OK,Ronnie Hillman,RB,7,OK,Victor Cruz,WR,11,OK,Brandon LaFell,WR,4,OK,Markus Wheaton,WR,11,OK,David Cobb,RB,4,OK,Devin Funchess,WR,5,OK,Tony Romo,QB,6,OK,Teddy Bridgewater,QB,5,OK,Kendall Wright,WR,4,OK,Charles Sims,RB,6,OK,Danny Woodhead,RB,10,OK
