RJ,,,,Brenna,,,,Nick,,,,Brian,,,,Lance,,,,Stephen,,,,Kevin,,,,Andrew,,,,Adam,,,,Nate,,,,Claire,,,,Eric,,,
NAME,POS,BYE,,NAME,POS,BYE,,NAME,POS,BYE,,NAME,POS,BYE,,NAME,POS,BYE,,NAME,POS,BYE,,NAME,POS,BYE,,NAME,POS,BYE,,NAME,POS,BYE,,NAME,POS,BYE,,NAME,POS,BYE,,NAME,POS,BYE,
Odell Beckham Jr.,WR,8,OK,Adrian Peterson,RB,6,OK,Antonio Brown,WR,8,OK,Cam Newton,QB,7,OK,Todd Gurley,RB,8,OK,David Johnson,RB,9,OK,Julio Jones,WR,11,OK,Lamar Miller,RB,9,OK,Devonta Freeman,RB,11,OK,A.J. Green,WR,9,OK,Ezekiel Elliott,RB,7,OK,DeAndre Hopkins,WR,9,OK
Jordy Nelson,WR,4,OK,Alshon Jeffery,WR,9,OK,Doug Martin,RB,6,OK,Matt Forte,RB,11,OK,Aaron Rodgers,QB,4,OK,Eddie Lacy,RB,4,OK,LeSean McCoy,RB,10,OK,Allen Robinson,WR,5,OK,Brandon Marshall,WR,11,OK,Jamaal Charles,RB,5,OK,Rob Gronkowski,TE,9,OK,Le'Veon Bell,RB,8,OK
Mark Ingram,RB,5,OK,Thomas Rawls,RB,5,OK,Sammy Watkins,WR,10,OK,Keenan Allen,WR,11,OK,Dez Bryant,WR,7,OK,Mike Evans,WR,6,OK,Brandin Cooks,WR,5,OK,T.Y. Hilton,WR,10,OK,C.J. Anderson,RB,11,OK,Amari Cooper,WR,10,OK,Jonathan Stewart,RB,7,OK,Julian Edelman,WR,9,OK
Andrew Luck,QB,10,OK,Golden Tate,WR,10,OK,Doug Baldwin,WR,5,OK,Jarvis Landry,WR,8,OK,Demaryius Thomas,WR,11,OK,Randall Cobb,WR,4,OK,Latavius Murray,RB,10,OK,Carlos Hyde,RB,8,OK,DeMarco Murray,RB,12,OK,Greg Olsen,TE,7,OK,Jeremy Hill,RB,9,OK,Drew Brees,QB,5,OK
Ryan Mathews,RB,4,OK,Jeremy Maclin,WR,5,OK,Russell Wilson,QB,5,OK,Jordan Reed,TE,9,OK,Arian Foster,RB,8,OK,Kelvin Benjamin,WR,7,OK,Jeremy Langford,RB,9,OK,Eric Decker,WR,11,OK,Emmanuel Sanders,WR,11,OK,Giovani Bernard,RB,9,OK,Larry Fitzgerald,WR,9,OK,Frank Gore,RB,10,OK
Delanie Walker,TE,12,OK,Duke Johnson Jr.,RB,12,OK,Melvin Gordon,RB,11,OK,Justin Forsett,RB,8,OK,T.J. Yeldon,RB,5,OK,Donte Moncrief,WR,10,OK,John Brown,WR,9,OK,Michael Floyd,WR,9,OK,Rashad Jennings,RB,8,OK,Ben Roethlisberger,QB,8,OK,Marvin Jones,WR,10,OK,Matt Jones,RB,9,OK
Ameer Abdullah,RB,10,OK,Carson Palmer,QB,9,OK,Danny Woodhead,RB,11,OK,DeSean Jackson,WR,9,OK,Travis Kelce,TE,5,OK,Allen Hurns,WR,5,OK,LeGarrette Blount,RB,9,OK,Isaiah Crowell,RB,12,OK,Chris Ivory,RB,5,OK,Michael Crabtree,WR,10,OK,Josh Gordon,WR,12,OK,Tyler Lockett,WR,5,OK
Antonio Gates,TE,11,OK,Zach Ertz,TE,4,OK,Kevin White,WR,9,OK,DeAngelo Williams,RB,8,OK,Sterling Shepard,WR,8,OK,Tyler Eifert*,TE,9,OK,DeVante Parker,WR,8,OK,Gary Barnidge,TE,12,OK,Jordan Matthews,WR,4,OK,Derrick Henry,RB,12,OK,Michael Thomas,WR,5,OK,Coby Fleener,TE,5,OK
Philip Rivers,QB,11,OK,Stefon Diggs,WR,6,OK,Bilal Powell,RB,11,OK,Julius Thomas,TE,5,OK,Devin Funchess,WR,7,OK,Theo Riddick,RB,10,OK,Eric Ebron,TE,10,OK,Eli Manning,QB,8,OK,James Starks,RB,4,OK,Darren Sproles,RB,4,OK,Vincent Jackson,WR,6,OK,Torrey Smith,WR,8,OK
Bengals,D/ST,9,OK,Mohamed Sanu,WR,11,OK,Jimmy Graham,TE,5,OK,Steve Smith Sr.,WR,8,OK,Tom Brady,QB,9,OK,Tevin Coleman,RB,11,OK,Zach Miller,TE,9,OK,Jay Ajayi,RB,8,OK,Tavon Austin,WR,8,OK,Markus Wheaton,WR,8,OK,Charles Sims,RB,6,OK,Martellus Bennett,TE,9,OK
Stephen Gostkowski,K,9,OK,Devontae Booker,RB,11,OK,Travis Benjamin,WR,11,OK,Derek Carr,QB,10,OK,Tyler Boyd,WR,9,OK,Andy Dalton,QB,9,OK,Alfred Morris,RB,7,OK,Willie Snead,WR,5,OK,Jason Witten,TE,7,OK,Jameis Winston,QB,6,OK,Blake Bortles,QB,5,OK,Mason Crosby,K,4,OK
Rishard Matthews,WR,12,OK,Panthers,D/ST,7,OK,Chris Hogan,WR,9,OK,Chiefs,D/ST,5,OK,Shane Vereen,RB,8,OK,Dwayne Allen,TE,10,OK,Kirk Cousins,QB,9,OK,Dion Lewis*,RB,9,OK,Tyrod Taylor,QB,10,OK,Seahawks,D/ST,5,OK,Broncos,D/ST,11,OK,Corey Coleman,WR,12,OK
Will Fuller,WR,9,OK,Steven Hauschka,K,5,OK,Dan Bailey,K,7,OK,Chandler Catanzaro,K,9,OK,Texans,D/ST,9,OK,Christine Michael,RB,5,OK,DeAndre Washington,RB,10,OK,Kamar Aiken,WR,8,OK,Bruce Ellington,WR,8,OK,Justin Tucker,K,8,OK,Adam Vinatieri,K,10,OK,Packers,D/ST,4,OK
Phillip Dorsett,WR,10,OK,Charles Clay,TE,10,OK,Jets,D/ST,11,OK,Mike Wallace,WR,8,OK,Blair Walsh,K,6,OK,Cardinals,D/ST,9,OK,Tajae Sharpe,WR,12,OK,Brandon LaFell,WR,9,OK,Javorius Allen,RB,8,OK,Ted Ginn Jr.,WR,7,OK,Jordan Cameron,TE,8,OK,Jerick McKinnon,RB,6,OK
Laquon Treadwell,WR,6,OK,Matthew Stafford,QB,10,OK,Marcus Mariota,QB,12,OK,Josh Ferguson,RB,10,OK,Jared Cook,TE,4,OK,Clive Walford,TE,10,OK,Vikings,D/ST,6,OK,Rams,D/ST,8,OK,Bills,D/ST,10,OK,Austin Seferian-Jenkins,TE,6,OK,Benjamin Watson,TE,8,OK,Chris Boswell,K,8,OK
Sammie Coates,WR,8,OK,Anquan Boldin,WR,10,OK,Terrance West,RB,8,OK,Victor Cruz,WR,8,OK,Nelson Agholor,WR,4,OK,Robbie Gould,K,9,OK,Mike Nugent,K,9,OK,Graham Gano,K,7,OK,Matt Prater,K,10,OK,Darren McFadden*,RB,7,OK,Vance McDonald,TE,8,OK,Kyle Rudolph,TE,6,OK
