,Andrew,Kevin,Brenna,RJ,Nick,Stephen,Nate,Adam,Brian,Claire,Eric,Lance
1,David Johnson,Le'Veon Bell,Antonio Brown,Julio Jones,Ezekiel Elliott,A.J. Green,LeSean McCoy,Jordy Nelson,Devonta Freeman,Odell Beckham Jr.,Melvin Gordon,Mike Evans
,"RB, Ari, 8","RB, Pit, 9","WR, Pit, 9","WR, Atl, 5","RB, Dal, 6","WR, Cin, 6","RB, Buf, 6","WR, GB, 8","RB, Atl, 5","WR, NYG, 8","RB, LAC, 9","WR, TB, 11"
2,Lamar Miller,Leonard Fournette,Rob Gronkowski,Todd Gurley,T.Y. Hilton,Dez Bryant,Doug Baldwin,Jay Ajayi,Jordan Howard,Michael Thomas,DeMarco Murray,Brandin Cooks
,"RB, Hou, 7","RB, Jax, 8","TE, NE, 9","RB, LAR, 8","WR, Ind, 11","WR, Dal, 6","WR, Sea, 6","RB, Mia, 11","RB, Chi, 9","WR, NO, 5","RB, Ten, 8","WR, NE, 9"
3,Amari Cooper,Terrelle Pryor Sr.,Joe Mixon,Demaryius Thomas,DeAndre Hopkins,Marshawn Lynch,Kareem Hunt,Isaiah Crowell,Alshon Jeffery,Christian McCaffrey,Michael Crabtree,Tom Brady
,"WR, Oak, 10","WR, Wsh, 5","RB, Cin, 6","WR, Den, 5","WR, Hou, 7","RB, Oak, 10","RB, KC, 10","RB, Cle, 9","WR, Phi, 10","RB, Car, 11","WR, Oak, 10","QB, NE, 9"
4,Travis Kelce,Jarvis Landry,Carlos Hyde,Golden Tate,Drew Brees,Mark Ingram,Keenan Allen,Bilal Powell,Aaron Rodgers,Ty Montgomery,Davante Adams,Dalvin Cook
,"TE, KC, 10","WR, Mia, 11","RB, SF, 11","WR, Det, 7","QB, NO, 5","RB, NO, 5","WR, LAC, 9","RB, NYJ, 11","QB, GB, 8","RB, GB, 8","WR, GB, 8","RB, Min, 9"
5,Kelvin Benjamin,Jimmy Graham,Allen Robinson,Danny Woodhead,Jordan Reed,Greg Olsen,DeSean Jackson,Tyler Eifert,Tyreek Hill,Delanie Walker,Adrian Peterson,Brandon Marshall
,"WR, Car, 11","TE, Sea, 6","WR, Jax, 8","RB, Bal, 10","TE, Wsh, 5","TE, Car, 11","WR, TB, 11","TE, Cin, 6","WR, KC, 10","TE, Ten, 8","RB, NO, 5","WR, NYG, 8"
6,Doug Martin,Ameer Abdullah,Sammy Watkins,Jamison Crowder,Frank Gore,Robert Kelley,Larry Fitzgerald,Stefon Diggs,martavis bryant,Matt Ryan,Emmanuel Sanders,C.J. Anderson
,"RB, TB, 11","RB, Det, 7","WR, LAR, 8","WR, Wsh, 5","RB, Ind, 11","RB, Wsh, 5","WR, Ari, 8","WR, Min, 9","WR, Pit, 9","QB, Atl, 5","WR, Den, 5","RB, Den, 5"
7,DeVante Parker,Paul Perkins,Tevin Coleman,Pierre Garcon,Theo Riddick,LeGarrette Blount,Terrance West,Mike Gillislee,Eddie Lacy,Corey Davis,Tyrell Williams,Martellus Bennett
,DeVante Parker,"RB, NYG, 8","RB, Atl, 5","WR, SF, 11","RB, Det, 7","RB, Phi, 10","RB, Bal, 10","RB, NE, 9","RB, Sea, 6","WR, Ten, 8","WR, LAC, 9","TE, GB, 8"
8,Mike Wallace,Chris Hogan,Marvin Jones,Russell Wilson,Jacquizz Rodgers,Willie Snead,Darren McFadden,Jeremy Maclin,Eric Decker,Giovani Bernard,Kyle Rudolph,Derrick Henry
,"WR, Bal, 10","WR, NE, 9","WR, Det, 7","QB, Sea, 6","RB, TB, 11","WR, NO, 5","RB, Dal, 6","WR, Bal, 10","WR, Ten, 8","RB, Cin, 6","TE, Min, 9","RB, Ten, 8"
9,Duke Johnson Jr.,Latavius Murray,Jonathan Stewart,Zach Ertz,Randall Cobb,Derek Carr,Kirk Cousins,Darren Sproles,Ben Roethlisberger,Justin Tucker,Donte Moncrief,Jeremy Hill
,"RB, Cle, 9","RB, Min, 9","RB, Car, 11","TE, Phi, 10","WR, GB, 8","QB, Oak, 10","QB, Wsh, 5","RB, Phi, 10","QB, Pit, 9","K, Bal, 10","WR, Ind, 11","RB, Cin, 6"
10,Matt Forte,Andrew Luck*,Chiefs D/ST,James White,Danny Amendola,Corey Coleman,Thomas Rawls,Ted Ginn Jr.,Broncos D/ST,Kenny Britt,Jameis Winston,Adam Thielen
,"RB, NYJ, 11","QB, Ind, 11","D/ST, KC, 10","RB, NE, 9","WR, NE, 9","WR, Cle, 9","RB, Sea, 6","WR, NO, 5","D/ST, Den, 5","WR, Cle, 9","QB, TB, 11","WR, Min, 9"
11,Jordan Matthews,Kenny Golladay,Zay Jones,Cam Newton,Dak Prescott,Marcus Mariota,Eric Ebron,Devin Funchess,John Brown,Charcandrick West,Rishard Matthews,Seahawks D/ST
