,Eric,Claire,Andrew,Kevin,Stephen,Brenna,Adam,Nick,Lance,Nate,RJ,Brian
1,Saquon Barkley,Christian McCaffrey,Alvin Kamara,David Johnson,Todd Gurley II,Le'Veon Bell,Ezekiel Elliott,DeAndre Hopkins,Patrick Mahomes,Michael Thomas,Davante Adams,James Conner
,"RB, NYG, 11","RB, CAR, 7","RB, NO, 9","RB, ARI, 12","RB, LAR, 9","RB, NYJ, 4","RB, DAL, 8","WR, HOU, 10","QB, KC, 12","WR, NO, 9","WR, GB, 11","RB, PIT, 7"
2,Antonio Brown,JuJu Smith-Schuster,Travis Kelce,Dalvin Cook,Derrick Henry,Devonta Freeman,Odell Beckham Jr.,Joe Mixon,Nick Chubb,Tyreek Hill,Julio Jones,Aaron Jones
,"WR, OAK, 6","WR, PIT, 7","TE, KC, 12","RB, MIN, 12","RB, TEN, 11","RB, ATL, 9","WR, CLE, 7","RB, CIN, 9","RB, CLE, 7","WR, KC, 12","WR, ATL, 9","RB, GB, 11"
3,Keenan Allen,Melvin Gordon,Chris Carson,Mike Evans,Amari Cooper,Julian Edelman,Kerryon Johnson,Leonard Fournette,George Kittle,Mark Ingram II,Zach Ertz,Adam Thielen
,"WR, LAC, 12","RB, LAC, 12","RB, SEA, 11","WR, TB, 7","WR, DAL, 8","WR, NE, 10","RB, DET, 5","RB, JAC, 10","TE, SF, 4","RB, BAL, 8","TE, PHI, 10","WR, MIN, 12"
4,Cooper Kupp,Tyler Lockett,Chris Godwin,Brandin Cooks,Kenny Golladay,Marlon Mack,Sony Michel,Stefon Diggs,David Montgomery,Phillip Lindsay,Josh Jacobs,Robert Woods
,"WR, LAR, 9","WR, SEA, 11","WR, TB, 7","WR, LAR, 9","WR, DET, 5","RB, IND, 6","RB, NE, 10","WR, MIN, 12","RB, CHI, 6","RB, DEN, 10","RB, OAK, 6","WR, LAR, 9"
5,Duke Johnson Jr.,Tyler Boyd,T.Y. Hilton,Derrius Guice,Josh Gordon,DJ Moore,Mike Williams,Alshon Jeffery,Evan Engram,Allen Robinson,Tevin Coleman,Deshaun Watson
,"RB, HOU, 10","WR, CIN, 9","WR, IND, 6","RB, WAS, 10","WR, NE, 10","WR, CAR, 7","WR, LAC, 12","WR, PHI, 10","TE, NYG, 11","WR, CHI, 6","RB, SF, 4","QB, HOU, 10"
6,James White,Jared Cook,Kenyan Drake,LeSean McCoy,Austin Ekeler,Calvin Ridley,Miles Sanders,Robby Anderson,A.J. Green,Damien Williams,Sammy Watkins,Matt Breida
,"RB, NE, 10","TE, NO, 9","RB, MIA, 5","RB, BUF, 6","RB, LAC, 12","WR, ATL, 9","RB, PHI, 10","WR, NYJ, 4","WR, CIN, 9","RB, KC, 12","WR, KC, 12","RB, SF, 4"
7,Jarvis Landry,Tarik Cohen,Devin Singletary,Latavius Murray,Royce Freeman,Hunter Henry,Sterling Shepard,Jordan Howard,Marquez Valdes-Scantling,Will Fuller V,Matt Ryan,Emmanuel Sanders
,"WR, CLE, 7","RB, CHI, 6","RB, BUF, 6","RB, NO, 9","RB, DEN, 10","TE, LAC, 12","WR, NYG, 11","RB, PHI, 10","WR, GB, 11","WR, HOU, 10","QB, ATL, 9","WR, DEN, 10"
8,Nyheim Hines,Darwin Thompson,Curtis Samuel,Aaron Rodgers,Darrell Henderson,Dede Westbrook,Christian Kirk,O.J. Howard,Marvin Jones Jr.,Peyton Barber,Rashaad Penny,Vance McDonald
,"RB, IND, 6","RB, KC, 12","WR, CAR, 7","QB, GB, 11","RB, LAR, 9","WR, JAC, 10","WR, ARI, 12","TE, TB, 7","WR, DET, 5","RB, TB, 7","RB, SEA, 11","TE, PIT, 7"
9,Larry Fitzgerald,Cam Newton,Carlos Hyde,Geronimo Allison,Michael Gallup,Baker Mayfield,Ronald Jones,Drew Brees,Ito Smith,James Washington,Corey Davis,Dante Pettis
,"WR, ARI, 12","QB, CAR, 7","RB, KC, 12","WR, GB, 11","WR, DAL, 8","QB, CLE, 7","RB, TB, 7","QB, NO, 9","RB, ATL, 9","WR, PIT, 7","WR, TEN, 11","WR, SF, 4"
10,Delanie Walker,Devin Funchess,Courtland Sutton,Justice Hill,Austin Hooper,David Njoku,Frank Gore,Kalen Ballage,Greg Zuerlein,Jalen Richard,Dion Lewis,Tony Pollard
,"TE, TEN, 11","WR, IND, 6","WR, DEN, 10","RB, BAL, 8","TE, ATL, 9","TE, CLE, 7","RB, BUF, 6","RB, MIA, 5","K, LAR, 9","RB, OAK, 6","RB, TEN, 11","RB, DAL, 8"
11,Jamison Crowder,Justin Jackson,DeSean Jackson,Mark Andrews,Russell Wilson,kareem hunt,Greg Olsen,Keke Coutee,Golden Tate,Mohamed Sanu,Trey Burton,Donte Moncrief
,"WR, NYJ, 4","RB, LAC, 12","WR, PHI, 10","TE, BAL, 8","QB, SEA, 11","rb, cle, 7","TE, CAR, 7","WR, HOU, 10","WR, NYG, 11","WR, ATL, 9","TE, CHI, 6","WR, PIT, 7"
12,Kyler Murray,Tyrell Williams,Jordan Reed,Anthony Miller,Ty Montgomery,Jared Goff,Carson Wentz,Giovani Bernard,Jaylen Samuels,Tyler Eifert,Adrian Peterson,Ben Roethlisberger
,"QB, ARI, 12","WR, OAK, 6","TE, WAS, 10","WR, CHI, 6","RB, NYJ, 4","QB, LAR, 9","QB, PHI, 10","RB, CIN, 9","RB, PIT, 7","TE, CIN, 9","RB, WAS, 10","QB, PIT, 7"
13,John Brown,Dak Prescott,Mitchell Trubisky,Marquise Goodwin,Tom Brady,Chris Thompson,Albert Wilson,DK Metcalf,Bears D/ST,Lamar Jackson,Chargers D/ST,Jacquarfs D/ST
,"WR, BUF, 6","QB, DAL, 8","QB, CHI, 6","WR, SF, 4","QB, NE, 10","RB, WAS, 10","WR, MIA, 5","WR, SEA, 11","D/ST, CHI, 6","QB, BAL, 8","D/ST, LAC, 12","D/ST, JAC, 10"
14,Rams D/ST,Wil Lutz,Stephen Gostkowski,DeVante Parker,Eric Ebron,Eagles D/ST,Adam Humphries,Philip Rivers,Alexander Mattison,Justin Tucker,Kyle Rudolph,Harrison Butker
,"D/ST, LAR, 9","K, NO, 9","K, NE, 10","WR, MIA, 5","TE, IND, 6","D/ST, PHI, 10","WR, TEN, 11","QB, LAC, 12","RB, MIN, 12","K, BAL, 8","TE, MIN, 12","K, KC, 12"
15,Mike Badgley,Broncos D/ST,Ravens D/ST,Browns D/ST,Vikings D/ST,Robbie Gould,Steelers D/ST,Ka'imi Fairbairn,Mecole Hardman,seahawks d/st,Jake Elliott,Kenny Stills
,"K, LAC, 12","D/ST, DEN, 10","D/ST, BAL, 8","D/ST, CLE, 7","D/ST, MIN, 12","K, SF, 4","D/ST, PIT, 7","K, HOU, 10","WR, KC, 12",,"K, PHI, 10","WR, MIA, 5"
16,Darren Waller,Jimmy Graham,Damien Harris,Mason Crosby,Matt Prater,Jason Witten,Brett Maher,Panthers D/ST,Jameis Winston,Kirk Cousins,Malcolm Brown,John Ross
,"TE, OAK, 6","TE, GB, 11","RB, NE, 10","K, GB, 11","K, DET, 5","TE, DAL, 8","K, DAL, 8","D/ST, CAR, 7","QB, TB, 7","QB, MIN, 12","RB, LAR, 9","WR, CIN, 9"
