,Lance,Andrew,Stephen,Adam,Nate,Nick,Claire,Kevin,Brian,Brenna,RJ,Eric
1,Christian McCaffrey,Saquon Barkley,Ezekiel Elliott,Dalvin Cook,Clyde Edwards-Helaire,Alvin Kamara,Derrick Henry,Joe Mixon,Kenyan Drake,Miles Sanders,Michael Thomas,Nick Chubb
,"RB, CAR, 12","RB, NYG, 11","RB, DAL, 10","RB, MIN, 7","RB, KC, 10","RB, NO, 6","RB, TEN, 7","RB, CIN, 9","RB, ARI, 8","RB, PHI, 9","WR, NO, 6","RB, CLE, 9"
2,Lamar Jackson,Kenny Golladay,David Johnson,Travis Kelce,George Kittle,Austin Ekeler,DeAndre Hopkins,Julio Jones,Davante Adams,Tyreek Hill,Josh Jacobs,Aaron Jones
,"QB, BAL, 8","WR, DET, 5","RB, HOU, 8","TE, KC, 10","TE, SF, 11","RB, LAC, 10","WR, ARI, 8","WR, ATL, 10","WR, GB, 5","WR, KC, 10","RB, LV, 6","RB, GB, 5"
3,Mark Andrews,James Conner,Chris Carson,Allen Robinson II,Amari Cooper,Patrick Mahomes,Adam Thielen,Chris Godwin,JuJu Smith-Schuster,Calvin Ridley,Mike Evans,A.J. Brown
,"TE, BAL, 8","RB, PIT, 8","RB, SEA, 6","WR, CHI, 11","WR, DAL, 10","QB, KC, 10","WR, MIN, 7","WR, TB, 12","WR, PIT, 8","WR, ATL, 10","WR, TB, 12","WR, TEN, 7"
4,Zach Ertz,Robert Woods,T.Y. Hilton,Tyler Lockett,Courtland Sutton,DJ Moore,Le'Veon Bell,Jonathan Taylor,Cooper Kupp,Melvin Gordon,Todd Gurley II,Odell Beckham Jr.
,"TE, PHI, 9","WR, LAR, 9","WR, IND, 7","WR, SEA, 6","WR, DEN, 8","WR, CAR, 12","RB, NYJ, 11","RB, IND, 7","WR, LAR, 9","RB, DEN, 8","RB, ATL, 10","WR, CLE, 9"
5,Raheem Mostert,David Montgomery,Cam Akers,Leonard Fournette,Devin Singletary,Terry McLaurin,Mark Ingram II,DJ Chark Jr.,Kyler Murray,Keenan Allen,Rob Gronkowski,Darren Waller
,"RB, SF, 11","RB, CHI, 11","RB, LAR, 9","RB, TB, 12","RB, BUF, 11","WR, WAS, 8","RB, BAL, 8","WR, JAC, 7","QB, ARI, 8","WR, LAC, 10","TE, TB, 12","TE, LV, 6"
6,Julian Edelman,Tyler Boyd,Will Fuller V,Deshaun Watson,Stefon Diggs,DK Metcalf,Jarvis Landry,Antonio Gibson,Evan Engram,Kareem Hunt,Tom Brady,A.J. Green
