,RJ,Lance,Eric,Stephen,Nate,Nick,Brian,Adam,Andrew,Brenna,Kevin,Claire
1,Christian McCaffrey,Derrick Henry,Dalvin Cook,Alvin Kamara,Davante Adams,Ezekiel Elliott,Nick Chubb,Travis Kelce,Aaron Jones,Saquon Barkley,Tyreek Hill,Jonathan Taylor
,"RB, CAR, 12","RB, TEN, 7","RB, MIN, 7","RB, NO, 6","WR, GB, 5","RB, DAL, 10","RB, CLE, 9","TE, KC, 10","RB, GB, 5","RB, NYG, 11","WR, KC, 10","RB, IND, 7"
2,Mike Evans,Clyde Edwards-Helaire,Patrick Mahomes,Calvin Ridley,Justin Jefferson,DeAndre Hopkins,DK Metcalf,Austin Ekeler,Joe Mixon,Stefon Diggs,Antonio Gibson,Najee Harris
,"WR, TB, 12","RB, KC, 10","QB, KC, 10","WR, ATL, 10","WR, MIN, 7","WR, ARI, 8","WR, SEA, 6","RB, LAC, 10","RB, CIN, 9","WR, BUF, 11","RB, WAS, 8","RB, PIT, 8"
3,Josh Jacobs,Josh Allen,A.J. Brown,Chris Carson,David Montgomery,Terry McLaurin,George Kittle,James Robinson,Darren Waller,CeeDee Lamb,Allen Robinson II,Keenan Allen
,"RB, LV, 6","QB, BUF, 11","WR, TEN, 7","RB, SEA, 6","RB, CHI, 11","WR, WAS, 8","TE, SF, 11","RB, JAC, 7","TE, LV, 6","WR, DAL, 10","WR, CHI, 11","WR, LAC, 10"
4,DJ Moore,Chris Godwin,Tyler Lockett,Julio Jones,Kareem Hunt,D'Andre Swift,Myles Gaskin,Robert Woods,Amari Cooper,Miles Sanders,Gus Edwards,Adam Thielen
,"WR, CAR, 12","WR, TB, 12","WR, SEA, 6","WR, TEN, 7","RB, CLE, 9","RB, DET, 5","RB, MIA, 11","WR, LAR, 9","WR, DAL, 10","RB, PHI, 9","RB, BAL, 8","WR, MIN, 7"
5,Cooper Kupp,Tee Higgins,Odell Beckham Jr.,Raheem Mostert,Lamar Jackson,Damien Harris,Chase Claypool,Chase Edmonds,Kyler Murray,Javonte Williams,Mike Davis,Brandon Aiyuk
,"WR, LAR, 9","WR, CIN, 9","WR, CLE, 9","RB, SF, 11","QB, BAL, 8","RB, NE, 6","WR, PIT, 8","RB, ARI, 8","QB, ARI, 8","RB, DEN, 8","RB, ATL, 10","WR, SF, 11"
6,Leonard Fournette,T.J. Hockenson,Sony Michel,Will Fuller V,Melvin Gordon,Dak Prescott,Russell Wilson,Diontae Johnson,Darrell Henderson Jr.,Mark Andrews,Kenny Golladay,Kyle Pitts
,"RB, TB, 12","TE, DET, 5","RB, LAR, 9","WR, MIA, 11","RB, DEN, 8","QB, DAL, 10","QB, SEA, 6","WR, PIT, 8","RB, LAR, 9","TE, BAL, 8","WR, NYG, 11","TE, ATL, 10"
7,Logan Thomas,Courtland Sutton,James Conner,Trey Sermon,Ronald Jones II,Ja'Marr Chase,Michael Gallup,Jerry Jeudy,Brandin Cooks,Tyler Boyd,Tom Brady,Aaron Rodgers
,"TE, WAS, 8","WR, DEN, 8","RB, ARI, 8","RB, SF, 11","RB, TB, 12","WR, CIN, 9","WR, DAL, 10","WR, DEN, 8","WR, HOU, 8","WR, CIN, 9","QB, TB, 12","QB, GB, 5"
