,Brenna,Kevin,Stephen,Claire,Andrew,Adam,RJ,Nate,Eric,Nick,Lance,Joey
1,Jonathan Taylor,Christian McCaffrey,Joe Mixon,Derrick Henry,Austin Ekeler,Cooper Kupp,Chase Lay,Justin Jefferson,Najee Harris,Dalvin Cook,Deebo Samuel,Alvin Kamara
,"RB, IND, 7","RB, CAR, 12","RB, CIN, 9","RB, TEN, 7","RB, LAC, 10","WR, LAR, 9","WR, CIN, 9","WR, MIN, 7","RB, PIT, 8","RB, MIN, 7","WR, SF, 11","RB, NO, 6"
2,CeeDee Lamb,Mark Andrews,Travis Kelce,Aaron Jones,Saquon Barkley,James Conner,Stefon Diggs,D'Andre Swift,Javonte Williams,Nick Chubb,Leonard Fournette,Davante Adams
,"WR, DAL, 10","TE, BAL, 8","TE, KC, 10","RB, GB, 5","RB, NYG, 11","RB, ARI, 8","WR, BUF, 11","RB, DET, 5","RB, DEN, 8","RB, CLE, 9","RB, TB, 12","WR, LV, 6"
3,Tee Higgins,Ezekiel Elliott,Keenan Allen,Tyreek Hill,Josh Allen,Cam Akers,Clyde Edwards-Helaire,Mike Evans,DJ Moore,Mike Williams,A.J. Brown,Terry McLaurin
,"WR, CIN, 9","RB, DAL, 10","WR, LAC, 10","WR, MIA, 11","QB, BUF, 11","RB, LAR, 9","RB, KC, 10","WR, TB, 12","WR, CAR, 12","WR, LAC, 10","WR, PHI, 9","WR, WAS, 8"
4,Devin Singletary,Elijah Mitchell,Josh Jacobs,Patrick Mahomes,Courtland Sutton,David Montgomery,Travis Etienne Jr.,J.K. Dobbins,Jerry Jeudy,Michael Pittman Jr.,Breece Hall,Kyle Pitts
,"RB, BUF, 11","RB, SF, 11","RB, LV, 6","QB, KC, 10","WR, DEN, 8","RB, CHI, 11","RB, JAC, 7","RB, BAL, 8","WR, DEN, 8","WR, IND, 7","RB, NYJ, 11","TE, ATL, 10"
5,Justin Herbert,Marquise Brown,Chris Godwin,George Kittle,AJ Dillon,Diontae Johnson,Jaylen Waddle,Darren Waller,Joe Burrow,DK Metcalf,Gabriel Davis,Miles Sanders
,"QB, LAC, 10","WR, ARI, 8","WR, TB, 12","TE, SF, 11","RB, GB, 5","WR, PIT, 8","WR, MIA, 11","TE, LV, 6","QB, CIN, 9","WR, SEA, 6","WR, BUF, 11","RB, PHI, 9"
6,Amon-Ra St. Brown,Rashod Bateman,Allen Robinson II,JuJu Smith-Schuster,Brandin Cooks,Aaron Rodgers,Russell Wilson,Dameon Pierce,Amari Cooper,Damien Harris,Lamar Jackson,Kyler Murray
,"WR, DET, 5","WR, BAL, 8","WR, LAR, 9","WR, KC, 10","WR, HOU, 8","QB, GB, 5","QB, DEN, 8","RB, HOU, 8","WR, CLE, 9","RB, NE, 6","QB, BAL, 8","QB, ARI, 8"
7,Hunter Renfrow,Jalen Hurts,Antonio Gibson,Adam Thielen,Darnell Mooney,Chase Edmonds,Dawson Knox,Cordarrelle Patterson,Kareem Hunt,Rhamondre Stevenson,Michael Thomas,Tony Pollard
,"WR, LV, 6","QB, PHI, 9","RB, WAS, 8","WR, MIN, 7","WR, CHI, 11","RB, MIA, 11","TE, BUF, 11","RB, ATL, 10","RB, CLE, 9","RB, NE, 6","WR, NO, 6","RB, DAL, 10"
8,Marquez Valdes-Scantling,Darrell Henderson Jr.,Tom Brady,Melvin Gordon III,Dallas Goedert,T.J. Hockenson,Rashaad Penny,Brandon Aiyuk,Zach Ertz,Dak Prescott,James Cook,Dalton Schultz
,"WR, KC, 10","RB, LAR, 9","QB, TB, 12","RB, DEN, 8","TE, PHI, 9","TE, DET, 5","RB, SEA, 6","WR, SF, 11","TE, ARI, 8","QB, DAL, 10","RB, BUF, 11","TE, DAL, 10"
9,Ken Walker III,Allen Lazard,DeVonta Smith,Chris Olave,Elijah Moore,Drake London,Nyheim Hines,Matthew Stafford,DeAndre Hopkins,Garrett Wilson,Tyler Boyd,Robert Woods
,"RB, SEA, 6","WR, GB, 5","WR, PHI, 9","WR, NO, 6","WR, NYJ, 11","WR, ATL, 10","RB, IND, 7","QB, LAR, 9","WR, ARI, 8","WR, NYJ, 11","WR, CIN, 9","WR, TEN, 7"
10,Cole Kmet,J.D. McKissic,Evan McPherson,D'Onta Foreman,Michael Carter,Brian Robinson Jr.,Kadarius Toney,Raheem Mostert,Tyler Lockett,Christian Kirk,Khalil Herbert,James Robinson
,"TE, CHI, 11","RB, WAS, 8","K, CIN, 9","RB, CAR, 12","RB, NYJ, 11","RB, WAS, 8","WR, NYG, 11","RB, MIA, 11","WR, SEA, 6","WR, JAC, 7","RB, CHI, 11","RB, JAC, 7"
11,Kenneth Gainwell,Pat Freiermuth,Jamaal Williams,Chase Claypool,Alexander Mattison,Skyy Moore,Justin Tucker,Robbie Anderson,Mark Ingram II,Harrison Butker,Bills D/ST,Jarvis Landry
,"RB, PHI, 9","TE, PIT, 8","RB, DET, 5","WR, PIT, 8","RB, MIN, 7","WR, KC, 10","K, BAL, 8","WR, CAR, 12","RB, NO, 6","K, KC, 10","D/ST, BUF, 11","WR, NO, 6"
12,Tyler Higbee,DeVante Parker,Derek Carr,Packers D/ST,Trey Lance,Zamir White,Treylon Burks,Isiah Pacheco,Matt Gay,Hunter Henry,Hayden Hurst,DJ Chark Jr.
,"TE, LAR, 9","WR, NE, 6","QB, LV, 6","D/ST, GB, 5","QB, SF, 11","RB, LV, 6","WR, TEN, 7","RB, KC, 10","K, LAR, 9","TE, NE, 6","TE, CIN, 9","WR, DET, 5"
13,Kirk Cousins,Julio Jones,Rex Burkhead,Alec Pierce,Michael Gallup,Tyler Allgeier,Tua Tagovailoa,Mecole Hardman,Jerick McKinnon,Kenny Golladay,Daniel Carlson,Chuba Hubbard
,"QB, MIN, 7","WR, TB, 12","RB, HOU, 8","WR, IND, 7","WR, DAL, 10","RB, ATL, 10","QB, MIA, 11","WR, KC, 10","RB, KC, 10","WR, NYG, 11","K, LV, 6","RB, CAR, 12"
14,Sony Michel,KJ Hamler,Chris Evans,Trevor Lawrence,Romeo Doubs,Jakobi Meyers,Buccaneers D/ST,Saints D/ST,David Njoku,Rachaad White,Damien Williams,Samaje Perine
,"RB, MIA, 11","WR, DEN, 8","RB, CIN, 9","QB, JAC, 7","WR, GB, 5","WR, NE, 6","D/ST, TB, 12","D/ST, NO, 6","TE, CLE, 9","RB, TB, 12","RB, ATL, 10","RB, CIN, 9"
15,Nick Folk,49ers D/ST,Rondale Moore,Mike Gesicki,Tyler Bass,Matt Prater,Odell Beckham Jr.,Nico Collins,Matt Breida,Ravens D/ST,Russell Gage,Colts D/ST
,"K, NE, 6","D/ST, SF, 11","WR, ARI, 8","TE, MIA, 11","K, BUF, 11","K, ARI, 8","WR, FA, N/A","WR, HOU, 8","RB, NYG, 11","D/ST, BAL, 8","WR, TB, 12","D/ST, IND, 7"
16,Chargers D/ST,Younghoe Koo,Bengals D/ST,Graham Gano,Browns D/ST,Commanders D/ST,Albert Okwuegbunam,Justin Fields,Dontrell Hilliard,Boston Scott,Mike Davis,Brandon McManus
,"D/ST, LAC, 10","K, ATL, 10","D/ST, CIN, 9","K, NYG, 11","D/ST, CLE, 9","D/ST, WAS, 8","TE, DEN, 8","QB, CHI, 11","RB, TEN, 7","RB, PHI, 9","RB, BAL, 8","K, DEN, 8"
