,RJ,Lance,Adam,Andrew,Nick,Claire,Joey,Stephen,Brenna,Kevin,Eric,Nate
1,Chase Lay,Justin Jefferson,Austin Ekeler,Christian McCaffrey,Nick Chubb,Derrick Henry,Travis Kelce,Saquon Barkley,Tyreek Hill,Bijan Robinson,Stefon Diggs,Tony Pollard
,"WR, CIN, 7","WR, MIN, 13","RB, LAC, 5","RB, SF, 9","RB, CLE, 5","RB, TEN, 7","TE, KC, 10","RB, NYG, 13","WR, MIA, 10","RB, ATL, 11","WR, BUF, 13","RB, DAL, 7"
2,Tee Higgins,Joe Mixon,Deebo Samuel,Amon-Ra St. Brown,Jaylen Waddle,CeeDee Lamb,A.J. Brown,Davante Adams,Travis Etienne Jr.,Garrett Wilson,Josh Jacobs,Cooper Kupp
,"WR, CIN, 7","RB, CIN, 7","WR, SF, 9","WR, DET, 9","WR, MIA, 10","WR, DAL, 7","WR, PHI, 10","WR, LV, 13","RB, JAC, 9","WR, NYJ, 7","RB, LV, 13","WR, LAR, 10"
3,Jahmyr Gibbs,DK Metcalf,Najee Harris,Chris Olave,Patrick Mahomes,Aaron Jones,Jalen Hurts,Josh Allen,Mark Andrews,Dameon Pierce,DeVonta Smith,Ken Walker III
,"RB, DET, 9","WR, SEA, 5","RB, PIT, 6","WR, NO, 11","QB, KC, 10","RB, GB, 6","QB, PHI, 10","QB, BUF, 13","TE, BAL, 13","RB, HOU, 7","WR, PHI, 10","RB, SEA, 5"
4,Keenan Allen,Breece Hall,Rachaad White,Justin Fields,Miles Sanders,Christian Watson,Alexander Mattison,Amari Cooper,Joe Burrow,Rhamondre Stevenson,Lamar Jackson,Calvin Ridley
,"WR, LAC, 5","RB, NYJ, 7","RB, TB, 5","QB, CHI, 13","RB, CAR, 7","WR, GB, 6","RB, MIN, 13","WR, CLE, 5","QB, CIN, 7","RB, NE, 11","QB, BAL, 13","WR, JAC, 9"
5,Cam Akers,Justin Herbert,James Conner,J.K. Dobbins,DJ Moore,Jonathan Taylor,James Cook,Terry McLaurin,Javonte Williams,Mike Evans,Isiah Pacheco,Alvin Kamara
,"RB, LAR, 10","QB, LAC, 5","RB, ARI, 14","RB, BAL, 13","WR, CHI, 13","RB, IND, 11","RB, BUF, 13","WR, WAS, 14","RB, DEN, 9","WR, TB, 5","RB, KC, 10","RB, NO, 11"
6,Drake London,D'Andre Swift,T.J. Hockenson,David Montgomery,George Kittle,Chris Godwin,Christian Kirk,Brian Robinson Jr.,DeAndre Hopkins,Darren Waller,Brandon Aiyuk,Mike Williams
