,Brenna,Andrew,Lance,Dewey Does,Joey,Nate,RJ,Claire,Kevin,Amazing Rajans,Stephen,Nick
1,Christian McCaffrey,Bijan Robinson,Breece Hall,Chase Lay,CeeDee Lamb,Tyreek Hill,Amon-Ra St. Brown,Jonathan Taylor,Saquon Barkley,Justin Jefferson,A.J. Brown,Jahmyr Gibbs
,"RB, SF, 9","RB, ATL, 11","RB, NYJ, 7","WR, CIN, 7","WR, DAL, 7","WR, MIA, 10","WR, DET, 9","RB, IND, 11","RB, PHI, 10","WR, MIN, 13","WR, PHI, 10","RB, DET, 9"
2,Mike Evans,Deebo Samuel Sr.,Josh Allen,Puka Nacua,Marvin Harrison Jr.,De'Von Achane,Josh Jacobs,Isiah Pacheco,Derrick Henry,Garrett Wilson,Travis Etienne Jr.,Kyren Williams
,"WR, TB, 5","WR, SF, 9","QB, BUF, 13","WR, LAR, 10","WR, ARI, 14","RB, MIA, 10","RB, GB, 6","RB, KC, 10","RB, BAL, 13","WR, NYJ, 7","RB, JAC, 9","RB, LAR, 10"
3,Kenneth Walker III,James Cook,Malik Nabers,Rachaad White,Joe Mixon,Cooper Kupp,Sam LaPorta,Alvin Kamara,Davante Adams,James Conner,Brandon Aiyuk,Chris Olave
,"RB, SEA, 5","RB, BUF, 13","WR, NYG, 13","RB, TB, 5","RB, HOU, 7","WR, LAR, 10","TE, DET, 9","RB, NO, 11","WR, LV, 13","RB, ARI, 14","WR, SF, 9","WR, NO, 11"
4,DeVonta Smith,Calvin Ridley,Travis Kelce,Jalen Hurts,Lamar Jackson,Aaron Jones,DJ Moore,DK Metcalf,Tee Higgins,Nico Collins,Jaylen Waddle,Drake London
,"WR, PHI, 10","WR, TEN, 7","TE, KC, 10","QB, PHI, 10","QB, BAL, 13","RB, MIN, 13","WR, CHI, 13","WR, SEA, 5","WR, CIN, 7","WR, HOU, 7","WR, MIA, 10","WR, ATL, 11"
5,George Pickens,David Montgomery,Tank Dell,Rhamondre Stevenson,Mark Andrews,D'Andre Swift,Najee Harris,Michael Pittman Jr.,Patrick Mahomes,Raheem Mostert,Tony Pollard,Amari Cooper
,"WR, PIT, 6","RB, DET, 9","WR, HOU, 7","RB, NE, 11","TE, BAL, 13","RB, CHI, 13","RB, PIT, 6","WR, IND, 11","QB, KC, 10","RB, MIA, 10","RB, TEN, 7","WR, CLE, 5"
6,Diontae Johnson,Trey McBride,Zamir White,Brian Robinson Jr.,Javonte Williams,Zay Flowers,Terry McLaurin,George Kittle,Rashee Rice,C.J. Stroud,Stefon Diggs,Joe Burrow
,"WR, CAR, 7","TE, ARI, 14","RB, LV, 13","RB, WAS, 14","RB, DEN, 9","WR, BAL, 13","WR, WAS, 14","TE, SF, 9","WR, KC, 10","QB, HOU, 7","WR, HOU, 7","QB, CIN, 7"
7,David Njoku,Chris Godwin,Dalton Kincaid,Kyle Pitts,Christian Watson,Jaxon Smith-Njigba,Xavier Worthy,Dak Prescott,Devin Singletary,Zack Moss,Chase Brown,Christian Kirk
,"TE, CLE, 5","WR, TB, 5","TE, BUF, 13","TE, ATL, 11","WR, GB, 6","WR, SEA, 5","WR, KC, 10","QB, DAL, 7","RB, NYG, 13","RB, CIN, 7","RB, CIN, 7","WR, JAC, 9"
8,Jordan Love,Anthony Richardson,Courtland Sutton,Tyjae Spears,Austin Ekeler,Jerome Ford,Caleb Williams,Keenan Allen,Evan Engram,Taysom Hill,Kyler Murray,Brock Bowers
,"QB, GB, 6","QB, IND, 11","WR, DEN, 9","RB, TEN, 7","RB, WAS, 14","RB, CLE, 5","QB, CHI, 13","WR, CHI, 13","TE, JAC, 9","TE, NO, 11","QB, ARI, 14","TE, LV, 13"
9,Ezekiel Elliott,Keon Coleman,Nick Chubb,Ladd McConkey,Jonathon Brooks,Gus Edwards,Rome Odunze,DeAndre Hopkins,Jayden Reed,Brian Thomas Jr.,Jake Ferguson,Jameson Williams
,"RB, DAL, 7","WR, BUF, 13","RB, CLE, 5","WR, LAC, 5","RB, CAR, 7","RB, LAC, 5","WR, CHI, 13","WR, TEN, 7","WR, GB, 6","WR, JAC, 9","TE, DAL, 7","WR, DET, 9"
10,Mike Williams,Jordan Addison,Cowboys D/ST,Ty Chandler,Tyler Allgeier,Brandin Cooks,Marquise Brown,Zach Charbonnet,Blake Corum,J.K. Dobbins,Chuba Hubbard,Jaylen Warren
,"WR, NYJ, 7","WR, MIN, 13","D/ST, DAL, 7","RB, MIN, 13","RB, ATL, 11","WR, DAL, 7","WR, KC, 10","RB, SEA, 5","RB, LAR, 10","RB, LAC, 5","RB, CAR, 7","RB, PIT, 6"
11,Trey Benson,Rico Dowdle,Harrison Butker,Khalil Herbert,Jakobi Meyers,Jerry Jeudy,Romeo Doubs,Tyler Lockett,Darnell Mooney,Joshua Palmer,Tua Tagovailoa,Gabe Davis
,"RB, ARI, 14","RB, DAL, 7","K, KC, 10","RB, CHI, 13","WR, LV, 13","WR, CLE, 5","WR, GB, 6","WR, SEA, 5","WR, ATL, 11","WR, LAC, 5","QB, MIA, 10","WR, JAC, 9"
12,Justin Herbert,MarShawn Lloyd,Ja'Lynn Polk,Adam Thielen,Jaylen Wright,Jared Goff,Jaleel McLaughlin,Brock Purdy,Jayden Daniels,Dalton Schultz,Khalil Shakir,Aaron Rodgers
,"QB, LAC, 5","RB, GB, 6","WR, NE, 11","WR, CAR, 7","RB, MIA, 10","QB, DET, 9","RB, DEN, 9","QB, SF, 9","QB, WAS, 14","TE, HOU, 7","WR, BUF, 13","QB, NYJ, 7"
13,Curtis Samuel,Kirk Cousins,Luke McCaffrey,Antonio Gibson,Xavier Legette,Dallas Goedert,Rashod Bateman,Justin Tucker,49ers D/ST,Rashid Shaheed,Kendre Miller,Alexander Mattison
,"WR, BUF, 13","QB, ATL, 11","WR, WAS, 14","RB, NE, 11","WR, CAR, 7","TE, PHI, 10","WR, BAL, 13","K, BAL, 13","D/ST, SF, 9","WR, NO, 11","RB, NO, 11","RB, LV, 13"
14,Cairo Santos,Cameron Dicker,Ray Davis,Jake Moody,Ravens D/ST,Ka'imi Fairbairn,Browns D/ST,Steelers D/ST,Jake Elliott,Brandon Aubrey,Texans D/ST,Evan McPherson
,"K, CHI, 13","K, LAC, 5","RB, BUF, 13","K, SF, 9","D/ST, BAL, 13","K, HOU, 7","D/ST, CLE, 5","D/ST, PIT, 6","K, PHI, 10","K, DAL, 7","D/ST, HOU, 7","K, CIN, 7"
15,Dolphins D/ST,Bengals D/ST,Jermaine Burton,Jets D/ST,Younghoe Koo,Falcons D/ST,Greg Zuerlein,Andrei Iosivas,Bucky Irving,Chiefs D/ST,Jake Bates,Mike Gesicki
,"D/ST, MIA, 10","D/ST, CIN, 7","WR, CIN, 7","D/ST, NYJ, 7","K, ATL, 11","D/ST, ATL, 11","K, NYJ, 7","WR, CIN, 7","RB, TB, 5","D/ST, KC, 10","K, DET, 9",Check Spelling
16,,,,,,,,,,,,
