,Claire,Adam,Andrew,Dewey Does,Joey,RJ,Amazing Rajans,Steve,Nick,Eric,Lance,Nate
1,Chase Lay,Bijan Robinson,Justin Jefferson,Jahmyr Gibbs,Malik Nabers,Ashton Jeanty,CeeDee Lamb,Brian Thomas,Amon-Ra St. Brown,Puka Nacua,Nico Collins,Saquon Barkley
,"WR, CIN, 10","RB, ATL, 5","WR, MIN, 6","RB, DET, 8","WR, NYG, 14","RB, LV, 8","WR, DAL, 10","WR, JAX, 8","WR, DET, 8","WR, LAR, 8","WR, HOU, 6","RB, PHI, 9"
2,Jonathan Taylor,Lamar Jackson,Omarion Hampton,Josh Allen,Ladd McConkey,Bucky Irving,Christian McCaffrey,Marvin Harrison,Brock Bowers,De'Von Achane,Jayden Daniels,Drake London
,"RB, IND, 11","QB, BAL, 7","RB, LAC, 12","QB, BUF, 7","WR, LAC, 12","RB, TB, 9","RB, SF, 14","WR, ARI, 8","TE, LV, 8","RB, MIA, 12","QB, WSH, 12","WR, ATL, 5"
3,A.J. Brown,Jaxon Smith-Njigba,Joe Burrow,Tetairoa McMillan,Chase Brown,Trey McBride,Kyren Williams,TreVeyon Henderson,Tee Higgins,Jalen Hurts,Garrett Wilson,Terry McLaurin
,"WR, PHI, 9","WR, SEA, 8","QB, CIN, 10","WR, CAR, 14","RB, CIN, 10","TE, ARI, 8","RB, LAR, 8","RB, NE, 14","WR, CIN, 10","QB, PHI, 9","WR, NYJ, 9","WR, WSH, 12"
4,Travis Hunter,Kenneth Walker,Rashee Rice,Zay Flowers,Sam LaPorta,Emeka Egbuka,Xavier Worthy,Derrick Henry,Breece Hall,DeVonta Smith,James Cook,Josh Jacobs
,"WR, JAX, 8","RB, SEA, 8","WR, KC, 10","WR, BAL, 7","TE, DET, 8","WR, TB, 9","WR, KC, 10","RB, BAL, 7","RB, NYJ, 9","WR, PHI, 9","RB, BUF, 7","RB, GB, 5"
5,Quinshon Judkins,Jaylen Waddle,Rome Odunze,DJ Moore,Patrick Mahomes,RJ Harvey,Chuba Hubbard,Tyler Warren,Matthew Golden,DK Metcalf,Kaleb Johnson,Jameson Williams
,"RB, CLE, 9","WR, MIA, 12","WR, CHI, 5","WR, CHI, 5","QB, KC, 10","RB, DEN, 12","RB, CAR, 14","TE, IND, 11","WR, GB, 5","WR, PIT, 5","RB, PIT, 5","WR, DET, 8"
6,Tucker Kraft,T.J. Hockenson,Ricky Pearsall,D'Andre Swift,David Montgomery,Courtland Sutton,George Kittle,Chris Olave,Luther Burden,Jordan Addison,George Pickens,Colston Loveland
,"TE, GB, 5","TE, MIN, 6","WR, SF, 14","RB, CHI, 5","RB, DET, 8","WR, DEN, 12","TE, SF, 14","WR, NO, 11","WR, CHI, 5","WR, MIN, 6","WR, DAL, 10","TE, CHI, 5"
7,Jerry Jeudy,Keon Coleman,Alvin Kamara,Tre' Harris,Mike Evans,Isiah Pacheco,James Conner,Cam Skattebo,Travis Etienne,Tyreek Hill,Chris Godwin,Trey Benson
,"WR, CLE, 9","WR, BUF, 7","RB, NO, 11","WR, LAC, 12","WR, TB, 9","RB, KC, 10","RB, ARI, 8","RB, NYG, 14","RB, JAX, 8","WR, MIA, 12","WR, TB, 9","RB, ARI, 8"
8,Brandon Aiyuk,Tank Bigsby,Zach Charbonnet,Javonte Williams,Josh Downs,Khalil Shakir,Drake Maye,Justin Herbert,Tyrone Tracy,Davante Adams,Bhayshul Tuten,Jayden Higgins
,"WR, SF, 14","RB, JAX, 8","RB, SEA, 8","RB, DAL, 10","WR, IND, 11","WR, BUF, 7","QB, NE, 14","QB, LAC, 12","RB, NYG, 14","WR, LAR, 8","RB, JAX, 8","WR, HOU, 6"
9,Tony Pollard,Tyjae Spears,Calvin Ridley,Jayden Reed,Jacory Croskey-Merritt,Brian Robinson,Kyle Pitts,Dalton Kincaid,Michael Pittman,David Njoku,Deebo Samuel,Marvin Mims
,"RB, TEN, 10","RB, TEN, 10","WR, TEN, 10","WR, GB, 5","RB, WSH, 12","RB, SF, 14","TE, ATL, 5","TE, BUF, 7","WR, IND, 11","TE, CLE, 9","WR, WSH, 12","WR, DEN, 12"
10,Bo Nix,Stefon Diggs,Ollie Gordon,Mason Taylor,Jauan Jennings,Baker Mayfield,Kyle Williams,Jaylen Warren,Aaron Jones,Jordan Mason,Cooper Kupp,Jaydon Blue
