Rank,Name,Team,Pos
1,Antonio Brown,Pit,WR
2,Odell Beckham Jr.,NYG,WR
3,Adrian Peterson,Min,RB
4,Julio Jones,Atl,WR
5,Todd Gurley,LA,RB
6,Ezekiel Elliott,Dal,RB
7,DeAndre Hopkins,Hou,WR
8,David Johnson,Ari,RB
9,Devonta Freeman,Atl,RB
10,Dez Bryant,Dal,WR
11,Rob Gronkowski,NE,TE
12,Le'Veon Bell,Pit,RB
13,A.J. Green,Cin,WR
14,Lamar Miller,Hou,RB
15,Allen Robinson,Jax,WR
16,Doug Martin,TB,RB
17,Jordy Nelson,GB,WR
18,Mark Ingram,NO,RB
19,Brandon Marshall,NYJ,WR
20,Eddie Lacy,GB,RB
21,Alshon Jeffery,Chi,WR
22,Jamaal Charles,KC,RB
23,Mike Evans,TB,WR
24,Sammy Watkins,Buf,WR
25,LeSean McCoy,Buf,RB
26,Brandin Cooks,NO,WR
27,Thomas Rawls,Sea,RB
28,Jordan Reed,Wsh,TE
29,Amari Cooper,Oak,WR
30,Demaryius Thomas,Den,WR
31,Keenan Allen,SD,WR
32,Jonathan Stewart,Car,RB
33,Carlos Hyde,SF,RB
34,C.J. Anderson,Den,RB
35,Cam Newton,Car,QB
36,T.Y. Hilton,Ind,WR
37,Julian Edelman,NE,WR
38,Doug Baldwin,Sea,WR
39,Jarvis Landry,Mia,WR
40,Matt Forte,NYJ,RB
41,Jeremy Hill,Cin,RB
42,Jeremy Maclin,KC,WR
43,Randall Cobb,GB,WR
44,Eric Decker,NYJ,WR
45,Golden Tate,Det,WR
46,Kelvin Benjamin,Car,WR
47,Donte Moncrief,Ind,WR
48,Greg Olsen,Car,TE
49,Aaron Rodgers,GB,QB
50,Russell Wilson,Sea,QB
51,Emmanuel Sanders,Den,WR
52,Michael Floyd,Ari,WR
53,DeVante Parker,Mia,WR
54,Larry Fitzgerald,Ari,WR
55,Latavius Murray,Oak,RB
56,Dion Lewis*,NE,RB
57,Ryan Mathews,Phi,RB
58,DeMarco Murray,Ten,RB
59,Jeremy Langford,Chi,RB
60,Delanie Walker,Ten,TE
61,Andrew Luck,Ind,QB
62,Matt Jones,Wsh,RB
63,Arian Foster,Mia,RB
64,Melvin Gordon,SD,RB
65,Duke Johnson Jr.,Cle,RB
66,Danny Woodhead,SD,RB
67,Frank Gore,Ind,RB
68,Drew Brees,NO,QB
69,Ben Roethlisberger,Pit,QB
70,John Brown,Ari,WR
71,Jordan Matthews,Phi,WR
72,DeSean Jackson,Wsh,WR
73,Rashad Jennings,NYG,RB
74,DeAngelo Williams,Pit,RB
75,T.J. Yeldon,Jax,RB
76,Giovani Bernard,Cin,RB
77,Ameer Abdullah,Det,RB
78,Carson Palmer,Ari,QB
79,Tom Brady,NE,QB
80,Marvin Jones,Det,WR
81,Allen Hurns,Jax,WR
82,Michael Crabtree,Oak,WR
83,Tyler Lockett,Sea,WR
84,Kevin White,Chi,WR
