Rank,Name,Team,Pos,Bye
1,Le'Veon Bell,PIT,RB,7
2,Todd Gurley II,LAR,RB,12
3,David Johnson,ARI,RB,9
4,Ezekiel Elliott,DAL,RB,8
5,Antonio Brown,PIT,WR,7
6,Saquon Barkley,NYG,RB,9
7,Alvin Kamara,NO,RB,6
8,Julio Jones,ATL,WR,8
9,Odell Beckham Jr.,NYG,WR,9
10,DeAndre Hopkins,HOU,WR,10
11,Leonard Fournette,JAX,RB,9
12,Kareem Hunt,KC,RB,12
13,Dalvin Cook,MIN,RB,10
14,Melvin Gordon,LAC,RB,8
15,Keenan Allen,LAC,WR,8
16,Michael Thomas,NO,WR,6
17,Devonta Freeman,ATL,RB,8
18,A.J. Green,CIN,WR,9
19,Christian McCaffrey,CAR,RB,4
20,Rob Gronkowski,NE,TE,11
21,Davante Adams,GB,WR,7
22,Mike Evans,TB,WR,5
23,Jordan Howard,CHI,RB,5
24,T.Y. Hilton,IND,WR,9
25,Adam Thielen,MIN,WR,10
26,Stefon Diggs,MIN,WR,10
27,Tyreek Hill,KC,WR,12
28,Larry Fitzgerald,ARI,WR,9
29,Travis Kelce,KC,TE,12
30,Zach Ertz,PHI,TE,9
31,Doug Baldwin,SEA,WR,7
32,Allen Robinson,CHI,WR,5
33,Amari Cooper,OAK,WR,7
34,Demaryius Thomas,DEN,WR,10
35,Josh Gordon,CLE,WR,11
36,LeSean McCoy,BUF,RB,11
37,Jerick McKinnon,SF,RB,11
38,Joe Mixon,CIN,RB,9
39,Marvin Jones Jr.,DET,WR,6
40,Alshon Jeffery,PHI,WR,9
41,Brandin Cooks,LAR,WR,12
42,Chris Hogan,NE,WR,11
43,Derrick Henry,TEN,RB,8
44,Kenyan Drake,MIA,RB,11
45,Alex Collins,BAL,RB,10
46,Jay Ajayi,PHI,RB,9
47,Royce Freeman,DEN,RB,10
48,Marshawn Lynch,OAK,RB,7
49,Lamar Miller,HOU,RB,10
50,Mark Ingram II,NO,RB,6
51,Golden Tate,DET,WR,6
52,Jarvis Landry,CLE,WR,11
53,JuJu Smith-Schuster,PIT,WR,7
54,Marquise Goodwin,SF,WR,11
55,Isaiah Crowell,NYJ,RB,11
56,Aaron Rodgers,GB,QB,7
57,Tom Brady,NE,QB,11
58,Carlos Hyde,CLE,RB,11
59,Chris Carson,SEA,RB,7
60,Dion Lewis,TEN,RB,8
61,Rex Burkhead,NE,RB,11
62,Sammy Watkins,KC,WR,12
63,Emmanuel Sanders,DEN,WR,10
64,Devin Funchess,CAR,WR,4
65,Corey Davis,TEN,WR,8
66,Cam Newton,CAR,QB,4
67,Carson Wentz,PHI,QB,9
68,Russell Wilson,SEA,QB,7
69,Deshaun Watson,HOU,QB,10
70,Robby Anderson,NYJ,WR,11
71,Will Fuller V,HOU,WR,10
72,Robert Woods,LAR,WR,12
73,Cooper Kupp,LAR,WR,12
74,Michael Crabtree,BAL,WR,10
75,Randall Cobb,GB,WR,7
76,Kenny Stills,MIA,WR,11
77,Greg Olsen,CAR,TE,4
78,Delanie Walker,TEN,TE,8
79,Jimmy Graham,GB,TE,7
80,Tevin Coleman,ATL,RB,8
81,Pierre Garcon,SF,WR,11
82,Josh Doctson,WAS,WR,4
83,Rashaad Penny,SEA,RB,7
84,Evan Engram,NYG,TE,9
85,Ronald Jones II,TB,RB,5
86,Kerryon Johnson,DET,RB,6
87,Jamaal Williams,GB,RB,7
88,Kelvin Benjamin,BUF,WR,11
89,Julian Edelman,NE,WR,11
90,Jordan Reed,WAS,TE,4
91,Jamison Crowder,WAS,WR,4
92,Jordy Nelson,OAK,WR,7
93,Kenny Golladay,DET,WR,6
94,Duke Johnson Jr.,CLE,RB,11
95,Adrian Peterson,WAS,RB,4
96,Peyton Barber,TB,RB,5
97,Sony Michel,NE,RB,11
98,Chris Thompson,WAS,RB,4
99,Kyle Rudolph,MIN,TE,10
100,Tarik Cohen,CHI,RB,5
101,Allen Hurns,DAL,WR,8
102,Nelson Agholor,PHI,WR,9
103,Tyler Lockett,SEA,WR,7
104,Sterling Shepard,NYG,WR,9
105,DeVante Parker,MIA,WR,11
106,Keelan Cole,JAX,WR,9
107,Jeremy Hill,NE,RB,11
108,Jordan Wilkins,IND,RB,9
109,Marlon Mack,IND,RB,9
110,Trey Burton,CHI,TE,5
111,David Njoku,CLE,TE,11
112,Ty Montgomery,GB,RB,7
113,Giovani Bernard,CIN,RB,9
114,James White,NE,RB,11
115,Paul Richardson,WAS,WR,4
116,Cameron Meredith,NO,WR,6
117,Andrew Luck,IND,QB,9
118,Ben Roethlisberger,PIT,QB,7
119,Kirk Cousins,MIN,QB,10
120,Jack Doyle,IND,TE,9
121,Mohamed Sanu,ATL,WR,8
122,Michael Gallup,DAL,WR,8
123,DeSean Jackson,TB,WR,5
124,DJ Moore,CAR,WR,4
125,Rishard Matthews,TEN,WR,8
126,Chris Godwin,TB,WR,5
127,Matthew Stafford,DET,QB,6
128,Drew Brees,NO,QB,6
129,John Ross,CIN,WR,9
130,Danny Amendola,MIA,WR,11
131,Calvin Ridley,ATL,WR,8
132,James Washington,PIT,WR,7
133,Charles Clay,BUF,TE,11
134,Matt Ryan,ATL,QB,8
135,Patrick Mahomes,KC,QB,12
136,Tyler Eifert,CIN,TE,9
137,Philip Rivers,LAC,QB,8
138,Jimmy Garoppolo,SF,QB,11
139,Alex Smith,WAS,QB,4
140,Marcus Mariota,TEN,QB,8
141,John Brown,BAL,WR,10
142,Anthony Miller,CHI,WR,5
143,Courtland Sutton,DEN,WR,10
144,Mike Williams,LAC,WR,8
145,Donte Moncrief,JAX,WR,9
146,Dez Bryant,FA,WR,N/A
147,Aaron Jones,GB,RB,7
148,Doug Martin,OAK,RB,7
149,Devontae Booker,DEN,RB,10
150,Matt Breida,SF,RB,11
151,Bilal Powell,NYJ,RB,11
152,Theo Riddick,DET,RB,6
153,Latavius Murray,MIN,RB,10
154,Corey Clement,PHI,RB,9
155,Nyheim Hines,IND,RB,9
156,Jacquarfs D/ST,JAX,D/ST,9
157,George Kittle,SF,TE,11
158,Mike Wallace,PHI,WR,9
159,Ryan Grant,IND,WR,9
160,Quincy Enunwa,NYJ,WR,11
161,C.J. Anderson,CAR,RB,4
162,Dak Prescott,DAL,QB,8
163,Jared Goff,LAR,QB,12
164,Cameron Brate,TB,TE,5
165,Christian Kirk,ARI,WR,9
166,Austin Seferian-Jenkins,JAX,TE,9
167,Kenneth Dixon,BAL,RB,10
168,Tyrod Taylor,CLE,QB,11
169,Taywan Taylor,TEN,WR,8
170,Eagles D/ST,PHI,D/ST,9
171,Rams D/ST,LAR,D/ST,12
172,Vikings D/ST,MIN,D/ST,10
173,Texans D/ST,BAL,D/ST,10
174,Ravens D/ST,HOU,D/ST,10
175,Greg Zuerlein,LAR,K,12
176,Stephen Gostkowski,NE,K,11
177,Justin Tucker,BAL,K,10
178,Patriots D/ST,NE,D/ST,11
179,Chargers D/ST,LAC,D/ST,8
180,Broncos D/ST,DEN,D/ST,10
181,Saints D/ST,NO,D/ST,6
182,Titans D/ST,TEN,D/ST,8
183,Panthers D/ST,CAR,D/ST,4
184,Matt Bryant,ATL,K,8
185,Wil Lutz,NO,K,6
186,Chris Boswell,PIT,K,7
187,Robbie Gould,SF,K,11
188,Jake Elliott,PHI,K,9
189,Matt Prater,DET,K,6
190,Harrison Butker,KC,K,12
191,Adam Vinatieri,IND,K,9
192,Graham Gano,CAR,K,4
193,Nick Chubb,CLE,RB,11
194,Rob Kelley,WAS,RB,4
195,Samaje Perine,WAS,RB,4
196,Vance McDonald,PIT,TE,7
197,Benjamin Watson,NO,TE,6
198,Austin Hooper,ATL,TE,8
199,Christine Michael,IND,RB,9
200,Javorius Allen,BAL,RB,10
201,LeGarrette Blount,DET,RB,6
202,Darren Sproles,PHI,RB,9
203,Chase Edmonds,ARI,RB,9
204,Chris Ivory,BUF,RB,11
205,Austin Ekeler,LAC,RB,8
206,T.J. Yeldon,JAX,RB,9
207,Spencer Ware,KC,RB,12
208,Elijah McGuire,NYJ,RB,11
209,James Conner,PIT,RB,7
210,O.J. Howard,TB,TE,5
211,Eric Ebron,IND,TE,9
212,Mitchell Trubisky,CHI,QB,5
213,Cole Beasley,DAL,WR,8
214,Ted Ginn Jr.,NO,WR,6
215,Martavis Bryant,OAK,WR,7
216,Tyler Boyd,CIN,WR,9
217,Albert Wilson,MIA,WR,11
218,Willie Snead,BAL,WR,10
219,Andy Dalton,CIN,QB,9
220,Ryan Tannehill,MIA,QB,11
221,Redskins D/ST,WAS,D/ST,4
222,Cardinals D/ST,ARI,D/ST,9
223,Dan Bailey,DAL,K,8
224,Ryan Succop,TEN,K,8
225,Dede Westbrook,JAX,WR,9
226,Tyrell Williams,LAC,WR,8
227,Terrance Williams,DAL,WR,8
228,Brandon Marshall,SEA,WR,7
229,Travis Benjamin,LAC,WR,8
230,Corey Coleman,BUF,WR,11
231,Jermaine Kearse,NYJ,WR,11
232,Geronimo Allison,GB,WR,7
