Rank,Name,Team,Pos,Bye,CBS,ADP,ECR
1,Saquon Barkley,NYG,RB,11,1,1,1
2,Alvin Kamara,NO,RB,9,2,2,2
3,Christian McCaffrey,CAR,RB,7,3,3,3
4,Ezekiel Elliott,DAL,RB,8,10,4,4
5,DeAndre Hopkins,HOU,WR,10,5,5,7
6,Davante Adams,GB,WR,11,4,9,9
7,David Johnson,ARI,RB,12,14,6,5
8,Le'Veon Bell,NYJ,RB,4,16,8,11
9,Michael Thomas,NO,WR,9,13,14,19
10,Julio Jones,ATL,WR,9,8,13,10
11,Odell Beckham Jr.,CLE,WR,7,12,18,12
12,Tyreek Hill,KC,WR,12,11,15,15
13,JuJu Smith-Schuster,PIT,WR,7,9,19,18
14,Todd Gurley II,LAR,RB,9,21,11,17
15,Travis Kelce,KC,TE,12,17,20,16
16,Mike Evans,TB,WR,7,22,21,20
17,Joe Mixon,CIN,RB,9,15,16,13
18,James Conner,PIT,RB,7,7,7,8
19,Dalvin Cook,MIN,RB,12,18,17,14
20,Antonio Brown,OAK,WR,6,34,23,23
21,Keenan Allen,LAC,WR,12,25,27,21
22,Nick Chubb,CLE,RB,7,6,10,6
23,Kerryon Johnson,DET,RB,5,20,26,24
24,Leonard Fournette,JAC,RB,10,19,22,27
25,Devonta Freeman,ATL,RB,9,27,31,31
26,Melvin Gordon,LAC,RB,12,65,37,41
27,Amari Cooper,DAL,WR,8,40,32,29
28,Brandin Cooks,LAR,WR,9,30,39,32
29,George Kittle,SF,TE,4,24,29,33
30,Zach Ertz,PHI,TE,10,23,30,37
31,Derrick Henry,TEN,RB,11,52,36,30
32,Chris Carson,SEA,RB,11,26,35,25
33,Josh Jacobs,OAK,RB,6,28,33,39
34,Aaron Jones,GB,RB,11,38,28,22
35,Mark Ingram II,BAL,RB,8,36,45,44
36,Julian Edelman,NE,WR,10,47,43,45
37,Adam Thielen,MIN,WR,12,33,25,28
38,Stefon Diggs,MIN,WR,12,35,34,35
39,Robert Woods,LAR,WR,9,41,44,38
40,Kenny Golladay,DET,WR,5,50,48,46
41,Chris Godwin,TB,WR,7,39,49,40
42,T.Y. Hilton,IND,WR,6,56,41,54
43,Patrick Mahomes,KC,QB,12,31,12,34
44,Sony Michel,NE,RB,10,37,46,36
45,Marlon Mack,IND,RB,6,44,38,47
46,Alshon Jeffery,PHI,WR,10,73,63,61
47,Cooper Kupp,LAR,WR,9,48,51,50
48,Tyler Lockett,SEA,WR,11,32,50,42
49,Mike Williams,LAC,WR,12,75,59,53
50,DJ Moore,CAR,WR,7,57,67,59
51,Allen Robinson,CHI,WR,6,74,77,63
52,Calvin Ridley,ATL,WR,9,49,53,57
53,Robby Anderson,NYJ,WR,4,63,72,64
54,Josh Gordon,NE,WR,10,55,69,69
55,Tyler Boyd,CIN,WR,9,61,56,56
56,Damien Williams,KC,RB,12,29,24,26
57,James White,NE,RB,10,78,61,66
58,David Montgomery,CHI,RB,6,42,42,43
59,Phillip Lindsay,DEN,RB,10,53,52,51
60,Kenyan Drake,MIA,RB,5,68,75,73
61,Derrius Guice,WAS,RB,10,80,74,74
62,Duke Johnson Jr.,HOU,RB,10,60,78,58
63,Tevin Coleman,SF,RB,4,43,54,52
64,Evan Engram,NYG,TE,11,45,60,60
65,O.J. Howard,TB,TE,7,46,55,48
66,Hunter Henry,LAC,TE,12,51,65,62
67,Jared Cook,NO,TE,9,95,71,85
68,Deshaun Watson,HOU,QB,10,59,40,49
69,Matt Ryan,ATL,QB,9,106,62,70
70,Aaron Rodgers,GB,QB,11,58,47,55
71,Sammy Watkins,KC,WR,12,83,87,81
72,A.J. Green,CIN,WR,9,54,58,71
73,Sterling Shepard,NYG,WR,11,72,94,95
74,Jarvis Landry,CLE,WR,7,85,64,76
75,Marvin Jones Jr.,DET,WR,5,76,91,84
76,Dede Westbrook,JAC,WR,10,64,83,90
77,Will Fuller V,HOU,WR,10,77,79,78
78,Curtis Samuel,CAR,WR,7,62,97,82
79,Miles Sanders,PHI,RB,10,69,68,67
80,Tarik Cohen,CHI,RB,6,81,70,75
81,Jordan Howard,PHI,RB,10,97,84,88
82,Austin Ekeler,LAC,RB,12,67,66,72
83,Royce Freeman,DEN,RB,10,93,106,80
84,Rashaad Penny,SEA,RB,11,86,96,79
85,Latavius Murray,NO,RB,9,66,82,65
86,Baker Mayfield,CLE,QB,7,70,57,68
87,Carson Wentz,PHI,QB,10,89,76,77
88,Cam Newton,CAR,QB,7,82,88,83
89,Dak Prescott,DAL,QB,8,160,121,110
90,Christian Kirk,ARI,WR,12,90,85,87
91,Courtland Sutton,DEN,WR,10,118,111,102
92,Michael Gallup,DAL,WR,8,116,140,115
93,Corey Davis,TEN,WR,11,84,92,89
94,Larry Fitzgerald,ARI,WR,12,114,98,104
95,Dante Pettis,SF,WR,4,124,103,93
96,Jamison Crowder,NYJ,WR,4,115,170,133
97,James Washington,PIT,WR,7,125,117,132
98,Peyton Barber,TB,RB,7,96,109,105
99,Ronald Jones,TB,RB,7,122,138,122
100,Nyheim Hines,IND,RB,6,146,184,160
101,Darrell Henderson,LAR,RB,9,98,95,99
102,Matt Breida,SF,RB,4,79,108,91
103,LeSean McCoy,BUF,RB,6,92,101,101
104,Darwin Thompson,KC,RB,12,87,119,140
105,Emmanuel Sanders,DEN,WR,10,71,93,113
106,Geronimo Allison,GB,WR,11,103,122,109
107,Marquez Valdes-Scantling,GB,WR,11,91,112,112
108,Keke Coutee,HOU,WR,10,153,156,128
109,David Njoku,CLE,TE,7,142,99,96
110,Vance McDonald,PIT,TE,7,119,86,97
111,Delanie Walker,TEN,TE,11,111,114,124
112,Austin Hooper,ATL,TE,9,135,128,117
113,Drew Brees,NO,QB,9,127,73,92
114,Ben Roethlisberger,PIT,QB,7,123,100,107
115,Russell Wilson,SEA,QB,11,120,81,86
116,Kyler Murray,ARI,QB,12,134,110,103
117,Jared Goff,LAR,QB,9,110,80,94
118,Tom Brady,NE,QB,10,129,104,121
119,Donte Moncrief,PIT,WR,7,102,131,118
120,DeSean Jackson,PHI,WR,10,117,124,111
121,Devin Funchess,IND,WR,6,163,181,167
122,Anthony Miller,CHI,WR,6,126,139,114
123,Tyrell Williams,OAK,WR,6,101,135,126
124,Lamar Jackson,BAL,QB,8,112,107,106
125,Mitchell Trubisky,CHI,QB,6,173,143,123
126,Kenny Stills,MIA,WR,5,131,190,137
127,DK Metcalf,SEA,WR,11,159,148,143
128,John Brown,BUF,WR,6,100,145,119
129,DaeSean Hamilton,DEN,WR,10,132,199,153
130,Adam Humphries,TEN,WR,11,161,211,169
131,Trey Burton,CHI,TE,6,179,146,130
