Rank,Name,Team,Pos,Bye,CBS,Yahoo,ADP,ECR,NFL
1,Justin Jefferson,MIN,WR,7,2,1,1.006363555,1,1
2,Chase Lay,CIN,WR,10,6,2,4.434673376,3,2
3,Derrick Henry,TEN,RB,6,10,18,16.32575603,10,18
4,Austin Ekeler,LAC,RB,8,3,4,3.000769131,7,6
5,Travis Kelce,KC,TE,8,8,7,5.219451596,5,5
6,Tyreek Hill,MIA,WR,11,13,6,6.186263127,6,4
7,Davante Adams,LV,WR,6,19,17,18.38424745,17,19
8,Christian McCaffrey,SF,RB,9,1,3,1.441717811,2,7
9,Nick Chubb,CLE,RB,9,7,10,8.369908035,4,15
10,Bijan Robinson,ATL,RB,14,5,9,7.054605212,8,11
11,Stefon Diggs,BUF,WR,7,18,8,11.10808006,11,8
12,Saquon Barkley,NYG,RB,9,11,13,8.106892938,15,13
13,Cooper Kupp,LAR,WR,7,16,5,8.379189647,9,3
14,Tony Pollard,DAL,RB,9,14,12,16.27600179,12,12
15,CeeDee Lamb,DAL,WR,9,21,11,12.4810237,14,10
16,Garrett Wilson,NYJ,WR,10,23,16,20.09198523,19,17
17,A.J. Brown,PHI,WR,7,17,14,13.21949285,13,9
18,DK Metcalf,SEA,WR,11,50,32,37.2268329,34,36
19,Josh Jacobs,LV,RB,6,15,19,15.38787932,16,16
20,Travis Etienne Jr.,JAC,RB,11,27,23,26.27258793,29,32
21,Amon-Ra St. Brown,DET,WR,6,26,15,21.26608716,18,14
22,Jaylen Waddle,MIA,WR,11,32,20,23.22641939,20,20
23,Deebo Samuel,SF,WR,9,33,42,38.37664071,32,47
24,Tee Higgins,CIN,WR,10,42,27,34.29574483,28,30
25,Chris Olave,NO,WR,14,40,22,25.41525358,21,28
26,Patrick Mahomes,KC,QB,8,4,30,13.48515652,22,24
27,Josh Allen,BUF,QB,7,12,33,18.30364103,24,22
28,Jalen Hurts,PHI,QB,7,9,24,22.19343962,23,23
29,Joe Mixon,CIN,RB,10,20,25,31.27926012,25,50
30,Najee Harris,PIT,RB,9,31,26,24.15756011,27,39
31,Jahmyr Gibbs,DET,RB,6,34,34,31.3097752,35,27
32,Aaron Jones,GB,RB,14,28,28,41.02892616,38,40
33,Dameon Pierce,HOU,RB,6,30,36,40.14158958,49,57
34,Rhamondre Stevenson,NE,RB,10,35,31,29.28054686,26,29
35,DeVonta Smith,PHI,WR,7,39,21,30.17419521,30,31
36,Calvin Ridley,JAC,WR,11,43,29,36.27000968,36,25
37,Christian Watson,GB,WR,14,45,62,58.31554255,42,46
38,Mark Andrews,BAL,TE,10,36,37,27.21459525,33,26
39,Lamar Jackson,BAL,QB,10,22,39,33.39601899,37,34
40,Joe Burrow,CIN,QB,10,24,61,35.19552639,41,43
41,Amari Cooper,CLE,WR,9,49,38,44.24212787,31,35
42,Keenan Allen,LAC,WR,8,55,47,43.07290764,45,42
43,DJ Moore,CHI,WR,14,44,54,50.37205316,40,49
44,Mike Williams,LAC,WR,8,84,68,62.2526209,59,44
45,Jerry Jeudy,DEN,WR,9,69,90,72.33688865,71,76
46,Ken Walker III,SEA,RB,11,999,999,999.1826906,999,999
47,Miles Sanders,CAR,RB,13,53,41,48.12256611,47,41
48,Breece Hall,NYJ,RB,10,52,40,47.47245349,48,33
49,T.J. Hockenson,MIN,TE,7,56,51,45.42262981,61,48
50,Rachaad White,TB,RB,11,75,73,62.04700847,66,66
51,Alexander Mattison,MIN,RB,7,37,45,49.49614813,51,62
52,Alvin Kamara,NO,RB,14,65,81,60.22801842,75,79
53,James Conner,ARI,RB,13,48,59,61.33196614,56,67
54,Cam Akers,LAR,RB,7,63,50,57.40835257,50,56
55,Justin Herbert,LAC,QB,8,29,77,42.19843912,46,38
56,Justin Fields,CHI,QB,14,38,56,45.30980443,43,37
57,Mike Evans,TB,WR,11,81,67,78.04586764,65,75
58,Diontae Johnson,PIT,WR,9,96,49,80.4336194,68,70
59,Terry McLaurin,WAS,WR,14,77,52,53.17833735,54,55
60,DeAndre Hopkins,TEN,WR,6,54,57,56.28959758,53,53
61,James Cook,BUF,RB,7,59,53,65.20946401,64,68
62,Jonathan Taylor,IND,RB,14,25,46,27.39378671,60,21
63,Javonte Williams,DEN,RB,9,79,70,59.48428196,67,64
64,Darren Waller,NYG,TE,9,58,74,55.44882834,73,54
65,Chris Godwin,TB,WR,11,94,63,70.27328105,69,74
66,Marquise Brown,ARI,WR,13,98,75,84.17151325,78,77
67,Brandon Aiyuk,SF,WR,9,82,55,65.46128026,52,69
68,Drake London,ATL,WR,14,71,48,65.27692569,55,51
69,Christian Kirk,JAC,WR,11,67,78,71.10582776,62,59
70,George Kittle,SF,TE,9,46,58,52.03583877,77,61
71,Kyle Pitts,ATL,TE,14,70,65,72.31894969,85,60
72,Dallas Goedert,PHI,TE,7,60,69,69.26824047,87,73
73,Deshaun Watson,CLE,QB,9,68,99,81.31247375,86,94
74,Trevor Lawrence,JAC,QB,11,51,72,53.44576359,57,45
75,Isiah Pacheco,KC,RB,8,57,79,74.20902578,72,65
76,David Montgomery,DET,RB,6,62,60,77.03280538,63,84
77,J.K. Dobbins,BAL,RB,10,47,35,50.08087072,44,63
78,Dalvin Cook,NYJ,RB,10,74,71,64.24669689,74,85
79,Courtland Sutton,DEN,WR,9,124,97,100.1409563,89,92
80,Tyler Lockett,SEA,WR,11,83,43,75.06954635,58,58
81,Brandin Cooks,DAL,WR,9,105,102,97.11977843,91,78
82,George Pickens,PIT,WR,9,61,80,76.09919865,76,98
83,Michael Pittman Jr.,IND,WR,14,118,64,79.08785522,82,80
84,Jahan Dotson,WAS,WR,14,76,66,85.2494083,70,71
85,Jaxon Smith-Njigba,SEA,WR,11,116,94,91.03382323,93,90
86,Skyy Moore,KC,WR,8,122,110,119.0819922,110,106
87,Khalil Herbert,CHI,RB,14,72,76,88.36420928,80,87
88,AJ Dillon,GB,RB,14,88,86,82.44206457,88,88
89,D'Andre Swift,PHI,RB,7,80,83,65.05246474,81,72
90,Brian Robinson Jr.,WAS,RB,14,64,93,92.33994256,84,96
91,Jamaal Williams,NO,RB,14,100,92,96.2446746,100,100
92,Pat Freiermuth,PIT,TE,9,91,82,90.49524225,107,112
93,Evan Engram,JAC,TE,11,93,89,83.42179707,111,95
94,David Njoku,CLE,TE,9,101,104,94.1750515,118,97
95,Cole Kmet,CHI,TE,14,138,134,135.0042337,145,128
96,Jordan Addison,MIN,WR,7,87,85,87.03226425,83,81
97,Treylon Burks,TEN,WR,6,157,118,112.1356634,97,116
98,Zay Flowers,BAL,WR,10,99,123,101.0504507,95,89
99,Gabe Davis,BUF,WR,7,92,84,94.13436399,79,83
100,Odell Beckham Jr.,BAL,WR,10,120,129,112.4508968,124,110
101,Michael Thomas,NO,WR,14,102,119,101.3998335,115,109
102,Dak Prescott,DAL,QB,9,85,91,85.25945682,90,105
103,Kirk Cousins,MIN,QB,7,66,115,103.408831,98,129
104,Daniel Jones,NYG,QB,9,109,88,112.2501826,92,99
105,Tua Tagovailoa,MIA,QB,11,89,100,93.36975982,94,101
106,Quentin Johnston,LAC,WR,8,131,128,116.1020786,106,82
107,Jakobi Meyers,LV,WR,6,162,125,161.1690063,121,162
108,JuJu Smith-Schuster,NE,WR,10,156,113,109.1531294,117,121
109,DJ Chark Jr.,CAR,WR,13,210,152,213.3764005,141,142
110,Rashaad Penny,PHI,RB,7,90,116,104.4029866,104,999
111,Raheem Mostert,MIA,RB,11,133,130,132.0292477,119,114
112,Samaje Perine,DEN,RB,9,107,95,106.2485066,101,119
113,Antonio Gibson,WAS,RB,14,110,87,89.0965451,96,93
114,Elijah Mitchell,SF,RB,9,114,124,121.3671894,112,125
115,Dalton Schultz,HOU,TE,6,130,142,125.1439948,136,117
116,Chigoziem Okonkwo,TEN,TE,6,161,111,134.2137061,134,163
117,Darnell Mooney,CHI,WR,14,207,144,171.2361214,133,152
118,Rondale Moore,ARI,WR,13,999,190,177.196603,156,253
119,Nico Collins,HOU,WR,6,159,107,164.247009,120,118
120,Elijah Moore,CLE,WR,9,149,98,119.1942365,99,103
121,Michael Gallup,DAL,WR,9,999,137,204.2215048,146,167
122,Adam Thielen,CAR,WR,13,150,133,131.4254966,142,171
123,Anthony Richardson,IND,QB,14,111,108,106.2392449,108,86
124,Aaron Rodgers,NYJ,QB,10,73,109,99.46481371,114,143
125,Geno Smith,SEA,QB,11,112,103,116.1151516,102,104
126,Russell Wilson,DEN,QB,9,128,160,139.2451741,135,146
127,Zach Charbonnet,SEA,RB,11,104,101,98.07754355,103,91
128,Devin Singletary,HOU,RB,6,189,174,146.4955864,138,173
129,Tyler Allgeier,ATL,RB,14,139,112,133.0650716,116,132
130,Jerick McKinnon,KC,RB,8,155,106,126.3176825,126,126
131,Ezekiel Elliott,NE,RB,10,119,132,122.2915449,128,136
132,Jaylen Warren,PIT,RB,9,132,127,123.0899441,122,115
133,Dalton Kincaid,BUF,TE,7,103,121,110.2382604,147,111
134,Tyler Higbee,LAR,TE,7,172,114,140.16919,148,130
135,Kadarius Toney,KC,WR,8,127,140,112.0912188,109,102
136,Tyler Boyd,CIN,WR,10,178,135,158.043783,137,160
137,K.J. Osborn,MIN,WR,7,999,172,198.3837138,164,186
138,Parris Campbell,NYG,WR,9,185,999,233.311264,185,218
139,Juwan Johnson,NO,TE,14,148,149,158.2171154,153,147
140,Gerald Everett,LAC,TE,8,183,147,188.3449745,157,148
141,49ers D/ST,SF,D/ST,9,999,999,999.4382952,999,999
142,Steelers D/ST,PIT,D/ST,9,999,999,999.4271986,999,999
143,Bills D/ST,BUF,D/ST,7,999,999,999.0762646,999,999
144,Saints D/ST,NO,D/ST,14,999,999,999.3801669,999,999
145,Dolphins D/ST,MIA,D/ST,11,999,999,999.3715497,999,999
146,Cowboys D/ST,DAL,D/ST,9,999,999,999.0070693,999,999
147,Browns D/ST,CLE,D/ST,9,999,999,999.0648199,999,999
148,Jets D/ST,NYJ,D/ST,10,999,999,999.4257361,999,999
149,Patriots D/ST,NE,D/ST,10,999,999,999.4164774,999,999
150,Packers D/ST,GB,D/ST,14,999,999,999.3784049,999,999
151,Justin Tucker,BAL,K,10,999,999,999.3198275,999,999
152,Daniel Carlson,LV,K,6,999,999,999.4269276,999,999
153,Evan McPherson,CIN,K,10,999,999,999.2903509,999,999
154,Harrison Butker,KC,K,8,999,999,999.4136202,999,999
155,Graham Gano,NYG,K,9,999,999,999.2868051,999,999
156,Jason Myers,SEA,K,11,999,999,999.0448043,999,999
157,Tyler Bass,BUF,K,7,999,999,999.4019037,999,999
158,Jake Elliott,PHI,K,7,999,999,999.3269613,999,999
159,Matt Gay,IND,K,14,999,999,999.2764394,999,999
160,Younghoe Koo,ATL,K,14,999,999,999.2216883,999,999
161,Roschon Johnson,CHI,RB,14,140,179,151.1997341,144,999
162,De'Von Achane,MIA,RB,11,135,155,111.1559413,127,134
163,Gus Edwards,BAL,RB,10,180,164,201.2979868,155,999
164,Damien Harris,BUF,RB,7,137,117,123.3593002,113,133
165,Kenneth Gainwell,PHI,RB,7,169,105,152.1140819,130,120
166,Deon Jackson,IND,RB,14,999,999,999.0583337,999,999
167,Evan Hull,IND,RB,14,999,225,238.261602,211,999
168,D'Onta Foreman,CHI,RB,14,164,148,141.4541717,140,231
169,Kyren Williams,LAR,RB,7,999,208,198.0228596,205,999
170,Tank Bigsby,JAC,RB,11,145,131,127.4254958,129,131
171,Tyjae Spears,TEN,RB,6,194,158,168.4931371,175,140
172,Allen Lazard,NYJ,WR,10,142,138,129.3095478,123,164
173,Hunter Renfrow,LV,WR,6,999,197,246.1396686,187,999
174,Zay Jones,JAC,WR,11,203,151,182.3476767,143,124
175,Jonathan Mingo,CAR,WR,13,192,157,187.1860639,168,123
176,Chase Claypool,CHI,WR,14,204,999,264.1369261,186,273
177,Curtis Samuel,WAS,WR,14,999,178,259.1002444,170,185
178,Jayden Reed,GB,WR,14,999,193,222.4726027,177,145
179,Romeo Doubs,GB,WR,14,152,143,136.3077534,139,149
180,Van Jefferson,LAR,WR,7,999,192,219.357194,161,999
181,Rashod Bateman,BAL,WR,10,153,96,143.2589943,105,108
182,Kenny Pickett,PIT,QB,9,151,165,153.3755946,154,158
183,Matthew Stafford,LAR,QB,7,167,170,176.1966398,152,156
184,Jared Goff,DET,QB,6,97,136,129.0840211,125,127
185,Zach Ertz,ARI,TE,13,999,999,999.0880033,999,277
186,Sam LaPorta,DET,TE,6,158,126,148.4027205,167,999
187,Mike Gesicki,NE,TE,10,999,223,234.0676392,202,257
188,Greg Dulcich,DEN,TE,9,147,156,168.4277593,150,141
189,Panthers D/ST,CAR,D/ST,13,999,999,999.3812396,999,999
190,Bengals D/ST,CIN,D/ST,10,999,999,999.3098358,999,999
191,Eddy Pineiro,CAR,K,13,999,999,999.2670866,999,999
192,Dustin Hopkins,CLE,K,9,999,999,999.4237577,999,999
193,Marquez Valdes-Scantling,KC,WR,8,999,226,216.0619187,172,235
194,Jameson Williams,DET,WR,6,173,176,142.2210096,132,107
195,Isaiah Hodgins,NYG,WR,9,185,183,236.2039198,174,260
196,Alec Pierce,IND,WR,14,999,196,214.4307815,162,172
197,DeVante Parker,NE,WR,10,999,200,299.0251534,179,198
198,Marvin Mims Jr.,DEN,WR,9,999,122,173.426029,166,122
199,Jerome Ford,CLE,RB,9,216,185,224.0944791,169,999
200,Clyde Edwards-Helaire,KC,RB,8,171,162,205.0402871,173,165
201,Joshua Kelley,LAC,RB,8,999,219,215.1386254,184,261
202,Jeff Wilson Jr.,MIA,RB,11,160,120,164.0688731,131,113
203,Chuba Hubbard,CAR,RB,13,212,171,183.3356375,159,252
204,Cordarrelle Patterson,ATL,RB,14,208,220,218.0174912,189,217
205,Rashee Rice,KC,WR,8,999,184,168.4542173,178,151
206,Zack Moss,IND,RB,14,191,213,224.0980541,212,999
207,Ty Chandler,MIN,RB,7,204,187,227.4935407,206,999
208,Keaontay Ingram,ARI,RB,13,999,999,999.4710784,999,999
209,Chase Edmonds,TB,RB,11,999,999,242.2640689,208,999
210,Raheem Blackshear,CAR,RB,13,999,999,999.3667572,999,999
211,Trayveon Williams,CIN,RB,10,999,999,999.2756174,999,999
212,Salvon Ahmed,MIA,RB,11,999,999,999.2983929,999,999
213,Craig Reynolds,DET,RB,6,999,999,999.2643485,999,999
214,Tyler Conklin,NYJ,TE,10,999,999,999.0086323,999,999
215,Kyler Murray,ARI,QB,13,174,999,192.2020843,196,159
216,Marvin Jones Jr.,DET,WR,6,204,999,321.2148903,225,284
217,Mecole Hardman,NYJ,WR,10,999,999,261.3612323,193,254
218,Donovan Peoples-Jones,CLE,WR,9,208,181,185.1865447,158,202
219,Derek Carr,NO,QB,14,144,189,149.3387097,151,157
220,Jimmy Garoppolo,LV,QB,6,177,221,209.0455128,200,208
221,Commanders D/ST,WAS,D/ST,14,999,999,999.0334206,999,999
222,Buccaneers D/ST,TB,D/ST,11,999,999,999.4940531,999,999
223,Greg Zuerlein,NYJ,K,10,999,999,999.030061,999,999
224,Cairo Santos,CHI,K,14,999,999,999.1870459,999,999
225,Michael Wilson,ARI,WR,13,999,999,999.2879117,999,999
226,Wan'Dale Robinson,NYG,WR,9,999,999,240.3340981,197,999
227,Robert Woods,HOU,WR,6,999,999,286.4024968,195,278
228,Rashid Shaheed,NO,WR,14,999,163,266.4800751,163,150
229,Mack Hollins,ATL,WR,14,999,999,999.0498867,999,241
230,Tutu Atwell,LAR,WR,7,999,999,999.4768418,999,999
