Team,Pos,Bye,Name,Rank,CBS,Yahoo,ADP,ECR,NFL
SF,RB,9,Christian McCaffrey,1,1,1,1,1,1
ATL,RB,11,Bijan Robinson,2,5,5,5,7,8
NYJ,RB,7,Breece Hall,3,3,4,6,6,7
DAL,WR,7,CeeDee Lamb,4,4,3,3,2,2
MIA,WR,10,Tyreek Hill,5,2,2,2,3,3
CIN,WR,7,Chase Lay,6,8,6,7,4,4
DET,WR,9,Amon-Ra St. Brown,7,7,8,8,8,5
MIN,WR,13,Justin Jefferson,8,10,7,4,5,6
IND,RB,11,Jonathan Taylor,9,9,10,11,11,13
PHI,RB,10,Saquon Barkley,10,6,14,10,14,12
PHI,WR,10,A.J. Brown,11,11,9,9,9,9
NYJ,WR,7,Garrett Wilson,12,14,11,13,10,11
LAR,WR,10,Puka Nacua,13,16,12,14,12,10
DET,RB,9,Jahmyr Gibbs,14,12,15,12,15,14
LAR,RB,10,Kyren Williams,15,13,17,17,17,18
BAL,RB,13,Derrick Henry,16,15,13,18,13,19
JAC,RB,9,Travis Etienne Jr.,17,17,21,15,26,21
NO,WR,11,Chris Olave,18,30,23,25,24,26
SF,WR,9,Deebo Samuel Sr.,19,31,28,25,16,29
TB,WR,5,Mike Evans,20,37,20,37,19,24
LV,WR,13,Davante Adams,21,27,19,19,29,17
ARI,WR,14,Marvin Harrison Jr.,22,18,16,15,20,15
HOU,WR,7,Nico Collins,23,32,29,27,22,22
KC,RB,10,Isiah Pacheco,24,20,18,24,27,20
SEA,RB,5,Kenneth Walker III,25,39,49,43,40,41
ATL,WR,11,Drake London,26,35,22,21,23,16
SEA,WR,5,DK Metcalf,27,44,34,42,30,40
TB,RB,5,Rachaad White,28,29,44,32,50,28
HOU,RB,7,Joe Mixon,29,28,42,44,45,46
BUF,RB,13,James Cook,30,21,45,33,44,38
SF,WR,9,Brandon Aiyuk,31,40,24,35,21,23
CHI,WR,13,DJ Moore,32,45,32,40,34,43
NYG,WR,13,Malik Nabers,33,62,41,46,42,37
TEN,WR,7,Calvin Ridley,34,72,74,78,68,44
BUF,QB,13,Josh Allen,35,19,31,22,18,42
DET,TE,9,Sam LaPorta,36,34,30,29,28,33
KC,TE,10,Travis Kelce,37,23,27,27,35,34
PHI,QB,10,Jalen Hurts,38,22,37,30,25,50
GB,RB,6,Josh Jacobs,39,26,33,23,41,47
NO,RB,11,Alvin Kamara,40,38,55,45,60,55
MIA,RB,10,De'Von Achane,41,25,25,20,36,31
IND,WR,11,Michael Pittman Jr.,42,48,35,34,51,27
CIN,WR,7,Tee Higgins,43,67,60,58,43,52
PHI,WR,10,DeVonta Smith,44,41,38,47,39,30
LAR,WR,10,Cooper Kupp,45,33,26,35,37,25
MIA,WR,10,Jaylen Waddle,46,43,36,38,33,35
PIT,WR,6,George Pickens,47,59,51,55,46,39
HOU,WR,7,Stefon Diggs,48,49,47,38,55,49
BAL,QB,13,Lamar Jackson,49,36,39,41,31,57
KC,QB,10,Patrick Mahomes,50,24,40,31,32,54
BAL,TE,13,Mark Andrews,51,42,54,49,47,45
HOU,WR,7,Tank Dell,52,68,52,68,49,56
BAL,WR,13,Zay Flowers,53,66,57,58,56,64
CAR,WR,7,Diontae Johnson,54,96,68,88,74,58
CLE,WR,5,Amari Cooper,55,55,43,54,38,36
SF,TE,9,George Kittle,56,60,65,63,71,78
ARI,TE,14,Trey McBride,57,51,48,48,62,32
IND,QB,11,Anthony Richardson,58,61,46,52,48,61
HOU,QB,7,C.J. Stroud,59,46,53,49,52,69
CIN,QB,7,Joe Burrow,60,52,69,61,57,76
DAL,QB,7,Dak Prescott,61,65,72,75,59,90
CHI,RB,13,D'Andre Swift,62,56,78,56,73,75
PIT,RB,6,Najee Harris,63,64,67,64,66,80
NE,RB,11,Rhamondre Stevenson,64,69,61,58,65,74
ARI,RB,14,James Conner,65,47,63,56,58,51
DET,RB,9,David Montgomery,66,58,59,62,53,53
TB,WR,5,Chris Godwin,67,82,75,74,76,60
KC,WR,10,Rashee Rice,68,74,62,75,63,71
JAC,WR,9,Christian Kirk,69,77,71,69,64,48
GB,WR,6,Christian Watson,70,90,92,99,84,111
CHI,WR,13,Keenan Allen,71,89,77,71,81,65
WAS,WR,14,Terry McLaurin,72,80,56,64,61,59
ATL,TE,11,Kyle Pitts,73,70,76,64,75,68
CLE,TE,5,David Njoku,74,85,99,90,92,100
BUF,TE,13,Dalton Kincaid,75,54,66,49,80,67
MIN,RB,13,Aaron Jones,76,53,58,53,69,77
LV,RB,13,Zamir White,77,50,70,67,72,72
WAS,RB,14,Brian Robinson Jr.,78,81,84,92,82,96
TEN,RB,7,Tony Pollard,79,73,83,79,83,82
MIA,RB,10,Raheem Mostert,80,63,64,77,70,62
DEN,WR,9,Courtland Sutton,81,117,98,112,101,112
GB,WR,6,Jayden Reed,82,79,79,80,77,73
KC,WR,10,Xavier Worthy,83,95,97,82,85,89
SEA,WR,5,Jaxon Smith-Njigba,84,111,90,103,111,87
MIN,WR,13,Jordan Addison,85,128,104,98,105,98
BUF,WR,13,Keon Coleman,86,110,124,105,123,84
TEN,RB,7,Tyjae Spears,87,100,86,104,107,83
NYG,RB,13,Devin Singletary,88,91,88,84,89,93
DEN,RB,9,Javonte Williams,89,84,82,81,88,86
DAL,RB,7,Ezekiel Elliott,90,116,113,109,119,95
ARI,QB,14,Kyler Murray,91,75,50,70,54,66
GB,QB,6,Jordan Love,92,57,73,72,67,101
SF,QB,9,Brock Purdy,93,83,87,97,79,110
CHI,WR,13,Rome Odunze,94,118,85,94,98,88
LAC,WR,5,Ladd McConkey,95,104,110,95,114,85
NYJ,WR,7,Mike Williams,96,159,134,139,134,120
JAC,WR,9,Brian Thomas Jr.,97,130,100,117,115,107
LV,WR,13,Jakobi Meyers,98,143,120,135,128,163
WAS,QB,14,Jayden Daniels,99,106,80,101,78,102
JAC,TE,9,Evan Engram,100,71,89,73,94,92
DAL,TE,7,Jake Ferguson,101,86,94,85,95,91
PIT,RB,6,Jaylen Warren,102,87,81,86,99,79
WAS,RB,14,Austin Ekeler,103,88,102,91,117,81
CAR,RB,7,Jonathon Brooks,104,98,103,88,100,70
CIN,RB,7,Zack Moss,105,78,91,83,96,105
CIN,RB,7,Chase Brown,106,99,95,105,110,106
KC,WR,10,Marquise Brown,107,112,93,102,97,63
SEA,WR,5,Tyler Lockett,108,145,108,131,127,109
TEN,WR,7,DeAndre Hopkins,109,101,106,99,91,104
LV,TE,13,Brock Bowers,110,94,122,93,103,127
PHI,TE,10,Dallas Goedert,111,105,116,112,106,103
NO,TE,11,Taysom Hill,112,999,187,158,141,999
LAC,RB,5,Gus Edwards,113,102,109,114,102,94
CLE,RB,5,Nick Chubb,114,76,119,87,113,126
LAC,RB,5,J.K. Dobbins,115,109,146,119,149,218
CAR,RB,7,Chuba Hubbard,116,139,132,129,133,128
MIN,RB,13,Ty Chandler,117,146,139,132,142,187
NYJ,QB,7,Aaron Rodgers,118,140,143,137,122,139
LAC,QB,5,Justin Herbert,119,127,136,123,108,115
ATL,QB,11,Kirk Cousins,120,131,128,132,104,146
CLE,RB,5,Jerome Ford,121,97,117,111,120,184
SEA,RB,5,Zach Charbonnet,122,148,123,124,138,133
ATL,RB,11,Tyler Allgeier,123,147,151,141,145,192
ARI,RB,14,Trey Benson,124,120,118,109,130,174
ATL,WR,11,Darnell Mooney,125,185,178,172,163,168
CLE,WR,5,Jerry Jeudy,126,150,162,136,147,131
JAC,WR,9,Gabe Davis,127,182,144,144,144,149
CAR,WR,7,Adam Thielen,128,169,164,159,167,167
BUF,WR,13,Curtis Samuel,129,154,111,118,136,108
DET,WR,9,Jameson Williams,130,119,107,116,109,99
NO,WR,11,Rashid Shaheed,131,166,105,148,124,999
CHI,QB,13,Caleb Williams,132,108,101,96,86,124
CLE,QB,5,Deshaun Watson,133,151,148,160,121,138
JAC,QB,9,Trevor Lawrence,134,115,115,120,93,125
MIN,TE,13,T.J. Hockenson,135,133,161,121,139,116
PIT,TE,6,Pat Freiermuth,136,135,129,127,116,118
HOU,TE,7,Dalton Schultz,137,129,126,125,118,134
NE,WR,11,DeMario Douglas,138,212,168,189,166,145
BUF,WR,13,Khalil Shakir,139,122,127,122,143,97
NE,WR,11,Ja'Lynn Polk,140,186,160,175,168,158
IND,WR,11,Adonai Mitchell,141,184,147,142,160,129
LAR,RB,10,Blake Corum,142,124,121,115,125,117
GB,RB,6,MarShawn Lloyd,143,162,159,153,158,176
NE,RB,11,Antonio Gibson,144,144,149,149,152,186
CAR,RB,7,Miles Sanders,145,999,208,259,216,999
CHI,RB,13,Khalil Herbert,146,172,141,181,155,185
CAR,WR,7,Xavier Legette,147,193,213,152,177,154
LAC,WR,5,Joshua Palmer,148,141,130,132,132,147
ARI,WR,14,Michael Wilson,149,999,155,166,165,140
DAL,WR,7,Brandin Cooks,150,163,142,145,135,132
GB,WR,6,Romeo Doubs,151,142,114,125,129,123
GB,WR,6,Dontayvion Wicks,152,179,137,155,153,130
DEN,RB,9,Jaleel McLaughlin,153,155,154,149,151,179
BUF,RB,13,Ray Davis,154,180,189,168,161,999
MIA,RB,10,Jaylen Wright,155,160,157,138,169,195
