Name,sleeper_id,Pos,Team,exp,bd,age,espn_id,clean_name,Bye,ESPN,ECR,ADP,Yahoo,Sleeper,Rank
Ja'Marr Chase,7564,WR,CIN,4,2000-03-01,25.5,4362628,jamarr chase,10,1,1,1,1,1.8,1
Justin Jefferson,6794,WR,MIN,5,1999-06-16,26.2,4262921,justin jefferson,6,3,2,2,2,2.5,2
Bijan Robinson,9509,RB,ATL,2,2002-01-30,23.6,4430807,bijan robinson,5,2,3,3,8,3.9,3
Jahmyr Gibbs,9221,RB,DET,2,2002-03-20,23.5,4429795,jahmyr gibbs,8,4,6,6,6,4.2,4
Malik Nabers,11632,WR,NYG,1,2003-07-28,22.1,4595348,malik nabers,14,5,4,5,4,5.6,5
CeeDee Lamb,6786,WR,DAL,5,1999-04-08,26.4,4241389,ceedee lamb,10,6,5,4,7,6.9,6
Ashton Jeanty,12527,RB,LV,0,2003-12-02,21.7,4890973,ashton jeanty,8,9,7,7,5,7.4,7
Brock Bowers,11604,TE,LV,1,2002-12-13,22.7,4432665,brock bowers,8,11,13,12,11,8.0,8
Amon-Ra St. Brown,7547,WR,DET,4,1999-10-24,25.9,4374302,amon-ra st brown,8,8,10,9,12,8.8,9
Saquon Barkley,4866,RB,PHI,7,1997-02-09,28.6,3929630,saquon barkley,9,14,14,10,20,10.1,10
Puka Nacua,9493,WR,LAR,2,2001-05-29,24.3,4426515,puka nacua,8,7,9,8,3,11.1,11
Josh Allen,4984,QB,BUF,7,1996-05-21,29.3,3918298,josh allen,7,21,27,21,32,12.3,12
Brian Thomas,11631,WR,JAC,1,2002-10-08,22.9,4432773,brian thomas,8,10,8,11,9,13.3,13
Jayden Daniels,11566,QB,WAS,1,2000-12-18,24.7,4426348,jayden daniels,12,17,29,24,26,14.3,14
Nico Collins,7569,WR,HOU,4,1999-03-19,26.5,4258173,nico collins,6,16,11,13,14,15.9,15
Lamar Jackson,4881,QB,BAL,7,1997-01-07,28.6,3916387,lamar jackson,7,22,28,25,33,16.4,16
De'Von Achane,9226,RB,MIA,2,2001-10-13,23.9,4429160,devon achane,12,12,16,16,16,17.1,17
Drake London,8112,WR,ATL,3,2001-07-24,24.1,4426502,drake london,5,15,12,14,13,17.1,18
Ladd McConkey,11635,WR,LAC,1,2001-11-11,23.8,4612826,ladd mcconkey,12,23,15,15,10,19.5,19
Marvin Harrison,11628,WR,ARI,1,2002-08-11,23.1,4432708,marvin harrison,8,18,21,19,23,20.8,20
Trey McBride,8130,TE,ARI,3,1999-11-22,25.8,4361307,trey mcbride,8,20,25,18,31,21.3,21
Bucky Irving,11584,RB,TB,1,2002-08-19,23.0,4596448,bucky irving,9,29,24,22,24,22.8,22
Omarion Hampton,12507,RB,LAC,0,2003-03-16,22.5,4685382,omarion hampton,12,13,18,23,15,23.1,23
A.J. Brown,5859,WR,PHI,6,1997-06-30,28.2,4047646,aj brown,9,24,20,20,21,24.5,24
Joe Burrow,6770,QB,CIN,5,1996-12-10,28.7,3915511,joe burrow,10,28,35,38,61,25.3,25
Garrett Wilson,8146,WR,NYJ,3,2000-07-22,25.1,4569618,garrett wilson,9,33,19,26,17,26.2,26
Jaxon Smith-Njigba,9488,WR,SEA,2,2002-02-14,23.5,4430878,jaxon smith-njigba,8,26,17,17,18,26.4,27
Jonathan Taylor,6813,RB,IND,5,1999-01-19,26.6,4242335,jonathan taylor,11,25,22,27,30,28.3,28
Jalen Hurts,6904,QB,PHI,5,1998-08-07,27.1,4040715,jalen hurts,9,27,42,39,37,29.0,29
Breece Hall,8155,RB,NYJ,3,2001-05-31,24.3,4427366,breece hall,9,47,26,28,25,30.5,30
Kyren Williams,8150,RB,LAR,3,2000-08-26,25.0,4430737,kyren williams,8,34,37,33,43,31.8,31
Christian McCaffrey,4034,RB,SF,8,1996-06-07,29.2,3117251,christian mccaffrey,14,19,59,35,49,32.9,32
Travis Hunter,12530,WR,JAC,0,2003-05-18,22.3,4685415,travis hunter,8,37,31,31,22,33.3,33
Josh Jacobs,5850,RB,GB,6,1998-02-11,27.6,4047365,josh jacobs,5,36,39,40,36,34.5,34
Derrick Henry,3198,RB,BAL,9,1994-01-04,31.7,3043078,derrick henry,7,65,60,34,64,35.4,35
Tetairoa McMillan,12526,WR,CAR,0,2003-04-05,22.4,4685472,tetairoa mcmillan,14,30,23,32,19,35.7,36
Tee Higgins,6801,WR,CIN,5,1999-01-18,26.6,4239993,tee higgins,10,32,30,29,28,37.7,37
James Cook,8138,RB,BUF,3,1999-09-25,25.9,4379399,james cook,7,35,44,49,48,38.2,38
TreVeyon Henderson,12529,RB,NE,0,2002-10-22,22.9,4432710,treveyon henderson,14,38,33,36,29,39.1,39
Sam LaPorta,10859,TE,DET,2,2001-01-12,24.6,4430027,sam laporta,8,39,41,44,57,40.8,40
Rashee Rice,10229,WR,KC,2,2000-04-22,25.4,4428331,rashee rice,10,40,32,30,27,41.9,41
Chase Brown,9224,RB,CIN,2,2000-03-21,25.4,4362238,chase brown,10,61,38,46,38,42.0,42
Quinshon Judkins,12512,RB,CLE,0,2003-10-29,21.8,4685702,quinshon judkins,9,63,74,47,81,43.2,43
Terry McLaurin,5927,WR,WAS,6,1995-09-15,30.0,3121422,terry mclaurin,12,49,55,41,50,44.5,44
Rome Odunze,11620,WR,CHI,1,2002-06-03,23.2,4431299,rome odunze,5,41,43,45,46,44.6,45
Xavier Worthy,11624,WR,KC,1,2003-04-27,22.3,4683062,xavier worthy,10,31,49,42,35,46.0,46
DeVonta Smith,7525,WR,PHI,4,1998-11-14,26.8,4241478,devonta smith,9,53,34,37,42,47.9,47
Kenneth Walker,8151,RB,SEA,3,2000-10-20,24.9,4567048,kenneth walker,8,45,46,43,47,48.3,48
Patrick Mahomes,4046,QB,KC,8,1995-09-17,30.0,3139477,patrick mahomes,10,46,45,60,73,49.1,49
RJ Harvey,12489,RB,DEN,0,2001-02-04,24.6,4568490,rj harvey,12,67,54,50,40,50.3,50
Zay Flowers,9997,WR,BAL,2,2000-09-11,25.0,4429615,zay flowers,7,43,40,48,34,51.8,51
Kaleb Johnson,12504,RB,PIT,0,2003-08-14,22.1,4819231,kaleb johnson,5,89,62,54,52,52.5,52
George Kittle,4217,TE,SF,8,1993-10-09,31.9,3040151,george kittle,14,44,57,53,82,53.6,53
Chuba Hubbard,7594,RB,CAR,4,1999-06-11,26.2,4241416,chuba hubbard,14,70,72,61,58,54.0,54
Tyler Warren,12518,TE,IND,0,2002-05-24,23.3,4431459,tyler warren,11,58,51,57,63,55.4,55
Emeka Egbuka,12514,WR,TB,0,2002-10-14,22.9,4567750,emeka egbuka,9,56,36,51,45,56.0,56
Joe Mixon,4018,RB,HOU,8,1996-07-24,29.1,3116385,joe mixon,6,93,137,71,106,57.7,57
Jordan Addison,9756,WR,MIN,2,2002-01-27,23.6,4429205,jordan addison,6,59,52,63,51,58.1,58
Tyreek Hill,3321,WR,MIA,9,1994-03-01,31.5,3116406,tyreek hill,12,76,76,56,88,59.6,59
DK Metcalf,5846,WR,PIT,6,1997-12-14,27.7,4047650,dk metcalf,5,77,47,55,62,60.7,60
DJ Moore,4983,WR,CHI,7,1997-04-14,28.4,3915416,dj moore,5,48,53,52,41,61.4,61
George Pickens,8137,WR,DAL,3,2001-03-04,24.5,4426354,george pickens,10,72,61,62,39,62.5,62
Chris Olave,8144,WR,NO,3,2000-06-27,25.2,4361370,chris olave,11,64,63,64,53,62.6,63
T.J. Hockenson,5844,TE,MIN,6,1997-07-03,28.2,4036133,tj hockenson,6,51,58,70,75,64.2,64
Jameson Williams,8148,WR,DET,3,2001-03-26,24.4,4426388,jameson williams,8,55,50,58,54,65.3,65
Bo Nix,11563,QB,DEN,1,2000-02-25,25.5,4426338,bo nix,12,62,67,72,83,66.0,66
Colston Loveland,12517,TE,CHI,0,2004-04-09,21.4,4723086,colston loveland,5,57,64,66,68,67.6,67
Alvin Kamara,4035,RB,NO,8,1995-07-25,30.1,3054850,alvin kamara,11,90,78,67,87,68.6,68
Matthew Golden,12501,WR,GB,0,2003-08-01,22.1,4701936,matthew golden,5,42,75,69,60,69.8,69
David Montgomery,5892,RB,DET,6,1997-06-07,28.2,4035538,david montgomery,8,108,77,76,85,70.3,70
Jaylen Waddle,7526,WR,MIA,4,1998-11-25,26.8,4372016,jaylen waddle,12,54,48,59,44,71.6,71
Mike Evans,2216,WR,TB,11,1993-08-21,32.0,16737,mike evans,9,78,73,65,69,71.6,72
Caleb Williams,11560,QB,CHI,1,2001-11-18,23.8,4431611,caleb williams,5,50,80,84,99,73.7,73
